seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Istanbul,Turkey,istanbul,8159,53,"Istanbul Sirinevler, Turkey",41.00245,28.83866
Istanbul,Turkey,istanbul,11611,61,"Istanbul Sultangazi, Turkey",41.10197,28.87202
Istanbul,Turkey,istanbul,14845,61,"Sultangazi 1, Turkey",,
Istanbul,Turkey,istanbul,8152,61,"Istanbul Basaksehir, Turkey",41.09552,28.78986
Istanbul,Turkey,istanbul,9558,49,"Istanbul (Buyukada), Turkey",40.8578714,29.1209951
Istanbul,Turkey,istanbul,9559,30,"Goztepe, Turkey",,
Istanbul,Turkey,istanbul,8160,62,"Istanbul Umraniye, Turkey",,
Istanbul,Turkey,istanbul,8154,69,"Istanbul Kagithane, Turkey",41.09233,28.97478
Istanbul,Turkey,istanbul,14841,46,"Arnavutköy, Turkey",,
Istanbul,Turkey,istanbul,9562,38,"Maslak, Turkey",,
Istanbul,Turkey,istanbul,8156,52,"Istanbul Mecidiyekoy, Turkey",41.06596,28.99446
Istanbul,Turkey,istanbul,8773,70,"Selimiye, Turkey",41.003818,29.026914
Istanbul,Turkey,istanbul,9564,68,"Avcilar, Turkey",,
Istanbul,Turkey,istanbul,4148,50,"Istanbul (Kartal), Turkey",40.89,29.2075
Istanbul,Turkey,istanbul,4149,38,"Istanbul (Sariyer), Turkey",,
Istanbul,Turkey,istanbul,8155,52,"Istanbul Kandilli, Turkey",,
Istanbul,Turkey,istanbul,14842,53,"Bağcılar, Turkey",,
Istanbul,Turkey,istanbul,4144,22,"Istanbul (Alibeykoy), Turkey",41.057672,28.945682
Istanbul,Turkey,istanbul,14847,61,"Sultangazi 3, Turkey",,
Istanbul,Turkey,istanbul,14844,52,"Sancaktepe, Turkey",,
Istanbul,Turkey,istanbul,4150,52,"Istanbul (Umraniye), Turkey",41.013611,29.162222
Istanbul,Turkey,istanbul,8772,62,"Catladikapi, Turkey",41.0025,28.975278
Istanbul,Turkey,istanbul,4147,20,"Istanbul (Kadikoy), Turkey",40.991944,29.033611
Istanbul,Turkey,istanbul,4151,30,"Istanbul (Uskudar), Turkey",41.015278,29.025
Istanbul,Turkey,istanbul,9560,38,"Kandilli, Turkey",,
Istanbul,Turkey,istanbul,4146,54,"Istanbul (Esenler), Turkey",41.038333,28.888056
Istanbul,Turkey,istanbul,8161,30,"Istanbul Uskudar, Turkey",41.02705,29.02489
Istanbul,Turkey,istanbul,4145,52,"Istanbul (Besiktas), Turkey",41.053889,29.01
Istanbul,Turkey,istanbul,4143,55,"Istanbul (Aksaray), Turkey",41.014722,28.954722
Istanbul,Turkey,istanbul,5382,61,"Istanbul (Kagithane), Turkey",41.087733,28.982773
Istanbul,Turkey,istanbul,14843,38,"Mobil 2, Turkey",41.051663093475156,28.867944221876538
Istanbul,Turkey,istanbul,4152,53,"Istanbul (Yenibosna), Turkey",40.998889,28.826667
Istanbul,Turkey,istanbul,8157,55,"Istanbul Silivri, Turkey",41.089333,28.255444
London,United Kingdom,london,3193,109,"London Marylebone Road, United Kingdom",51.52253,-0.154611
London,United Kingdom,london,11653,105,"London Honor Oak Park, United Kingdom",,
London,United Kingdom,london,11767,-,"Hounslow Chiswick, United Kingdom",,
London,United Kingdom,london,14604,122,"Westminster - Oxford Street, United Kingdom",51.5139287404213,-0.152792701881935
London,United Kingdom,london,3194,100,"London N. Kensington, United Kingdom",51.52105,-0.213492
London,United Kingdom,london,7953,114,"Greenwich - A206 Burrage Grove, United Kingdom",,
London,United Kingdom,london,3166,122,"Camden Kerbside, United Kingdom",51.54421,-0.175269
London,United Kingdom,london,14612,102,"Wandsworth - Putney, United Kingdom",,
London,United Kingdom,london,14627,-,"Richmond Upon Thames - Castelnau, United Kingdom",,
London,United Kingdom,london,7948,-,"Tower Hamlets - Blackwall, United Kingdom",,
London,United Kingdom,london,7945,93,"Camden - Euston Road, United Kingdom",51.5277066194645,-0.129053205282516
London,United Kingdom,london,14596,105,"Islington - Arsenal, United Kingdom",51.557895,-0.106989
London,United Kingdom,london,7944,119,"Brent - Ikea, United Kingdom",,
London,United Kingdom,london,7955,39,"Greenwich - Woolwich Flyover, United Kingdom",,
London,United Kingdom,london,10876,41,"Greenwich - John Harrison Way, United Kingdom",,
London,United Kingdom,london,11766,8,"Hounslow Brentford, United Kingdom",,
London,United Kingdom,london,14631,82,"Camden - Coopers Lane, United Kingdom",51.533238,-0.129594
London,United Kingdom,london,12504,99,"Brent - Neasden Lane, United Kingdom",,
London,United Kingdom,london,12503,107,"Brent - John Keble Primary School, United Kingdom",,
London,United Kingdom,london,10874,109,"London Westminster, United Kingdom",51.49467,-0.131931
London,United Kingdom,london,3195,100,"London Teddington Bushy Park, United Kingdom",,
London,United Kingdom,london,14626,114,"Wandsworth - Tooting High Street, United Kingdom",51.429331,-0.166524
London,United Kingdom,london,14614,89,"Lambeth - Brixton Road, United Kingdom",51.464113541162,-0.11458102695123
London,United Kingdom,london,14638,82,"Westminster - Elizabeth Bridge, United Kingdom",51.4922482333024,-0.147114752900186
London,United Kingdom,london,14610,-,"Richmond Upon Thames - Barnes Wetlands, United Kingdom",,
London,United Kingdom,london,7954,106,"Greenwich - Plumstead High Street, United Kingdom",,
London,United Kingdom,london,14616,33,"Greenwich - Fiveways Sidcup Rd A20, United Kingdom",,
London,United Kingdom,london,14611,36,"Greenwich - Blackheath, United Kingdom",,
London,United Kingdom,london,7957,105,"Greenwich - Westhorne Avenue, United Kingdom",,
London,United Kingdom,london,10103,-,"Greenwich - Trafalgar Road (Hoskins St), United Kingdom",,
London,United Kingdom,london,3189,99,"London Bloomsbury, United Kingdom",51.52229,-0.125889
London,United Kingdom,london,3179,-,"Haringey Roadside, United Kingdom",,
London,United Kingdom,london,14608,93,"Wandsworth - Battersea, United Kingdom",51.4794395281222,-0.141786953606306
London,United Kingdom,london,14625,104,"Wandsworth - Lavender Hill (Clapham Jct), United Kingdom",51.4636903568111,-0.166713485994806
London,United Kingdom,london,14618,95,"Merton - Merton Road, United Kingdom",,
London,United Kingdom,london,11768,-,"Waltham Forest Dawlish Rd, United Kingdom",,
London,United Kingdom,london,5724,100,London,51.5073509,-0.1277583
London,United Kingdom,london,14597,102,"Islington - Holloway Road, United Kingdom",51.555378,-0.116146
London,United Kingdom,london,14634,104,"Greenwich - Falconwood FDMS, United Kingdom",,
London,United Kingdom,london,14617,21,"Lambeth - Streatham Green, United Kingdom",51.4282131429499,-0.13186863879576
London,United Kingdom,london,14594,118,"Enfield - Bowes Primary School, United Kingdom",,
London,United Kingdom,london,10875,122,"Brent - ARK Franklin Primary Academy, United Kingdom",,
London,United Kingdom,london,14636,-,"Southwark - Tower Bridge Road, United Kingdom",51.5013906712066,-0.0782034373606952
London,United Kingdom,london,14606,-,"Southwark - Elephant and Castle, United Kingdom",51.4931557048667,-0.101527038274853
London,United Kingdom,london,14605,-,"Westminster - Horseferry Road, United Kingdom",51.494681,-0.131938
London,United Kingdom,london,14607,-,"Lambeth - Bondway Interchange, United Kingdom",51.4854867739729,-0.124545234819213
Paris,France,paris,3101,40,"Tremblay-en-france, Paris",,
Paris,France,paris,3082,95,"Paris 18eme, Paris",48.8917,2.34563
Paris,France,paris,3085,143,"Gennevilliers, Paris",48.9302,2.29421
Paris,France,paris,3089,95,"Boulevard Haussmann, Paris",48.8733,2.32957
Paris,France,paris,3092,49,"Place De Lopera, Paris",48.8704,2.33241
Paris,France,paris,3091,53,"Place Victor Basch, Paris",48.8277,2.3267
Paris,France,paris,12763,125,"Paris 1er Les Halles, Paris",48.8621,2.34462
Paris,France,paris,3086,119,"Avenue Des Champs Elysees, Paris",48.8686,2.31166
