seed_city,seed_country,waqi_uid,station_name,latitude,longitude,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,so2,co,url,snapshot_utc
Bangkok,Thailand,4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",14.03742,100.605216,82,PM25,2026-03-24 09:00:00,82.0,34.0,20.1,,2.7,0.1,https://aqicn.org/city/thailand/pathum-thani/bangkok-university-rangsit-campus,2026-03-24T01:35:47.025077
Bangkok,Thailand,1861,"National Housing Authority Dindaeng, Bangkok, Thailand (การเคหะชุมชนดินแดง)",13.76251667,100.5502,80,PM25,2026-03-24 09:00:00,80.0,51.0,4.8,15.0,,,https://aqicn.org/city/thailand/bangkok/national-housing-authority-dindaeng,2026-03-24T01:35:48.152885
Bangkok,Thailand,1857,"Chulalongkorn Hospital, Bangkok, Thailand (โรงพยาบาลจุฬาลงกรณ์)",13.729852,100.536501,79,PM25,2026-03-24 09:00:00,79.0,56.0,4.8,15.0,,0.1,https://aqicn.org/city/thailand/bangkok/chulalongkorn-hospital,2026-03-24T01:35:49.321476
Bangkok,Thailand,1859,"Thonburi Power Sub-Station, Bangkok, Thailand (โรงไฟฟ้าย่อย ธนบุรี)",13.727622,100.486568,76,PM25,2026-03-24 09:00:00,76.0,50.0,,34.0,,,https://aqicn.org/city/thailand/bangkok/thonburi-power-sub-station,2026-03-24T01:35:50.524359
Bangkok,Thailand,5773,Bangkok,13.7563309,100.5017651,76,PM25,2026-03-24 09:00:00,76.0,29.0,10.7,6.4,0.6,0.1,https://aqicn.org/city/bangkok,2026-03-24T01:35:51.689175
Beijing,China,460,"BDA, Beijing (亦庄开发区)",39.795,116.506,194,PM25,2026-03-24 09:00:00,194.0,106.0,17.9,24.7,1.1,9.1,https://aqicn.org/city/beijing/yizhuangkaifaqu,2026-03-24T01:35:52.876011
Beijing,China,449,"Wanshou Temple, Beijing (西城万寿西宫)",39.878,116.352,189,PM25,2026-03-24 09:00:00,189.0,105.0,19.1,23.4,3.6,10.9,https://aqicn.org/city/beijing/xichengwanshouxigong,2026-03-24T01:35:54.121632
Beijing,China,451,"Chaoyang Agricultural Exhibition Hall, Beijing (朝阳农展馆)",39.937,116.461,189,PM25,2026-03-24 09:00:00,189.0,108.0,19.5,22.9,4.6,10.9,https://aqicn.org/city/beijing/chaoyangnongzhanguan,2026-03-24T01:35:55.302323
Beijing,China,1451,Beijing (北京),39.954592,116.468117,189,PM25,2026-03-24 09:00:00,189.0,108.0,19.5,22.9,4.6,10.9,https://aqicn.org/city/beijing,2026-03-24T01:35:56.457932
Beijing,China,446,"Dongcheng Dongsi, Beijing (东城东四)",39.929,116.417,187,PM25,2026-03-24 09:00:00,187.0,107.0,19.5,26.6,5.6,9.1,https://aqicn.org/city/beijing/dongchengdongsi,2026-03-24T01:35:57.612393
