station_key,station_name,waqi_uid,latitude,longitude,seed_city,seed_country,source,last_updated
a10westamsterdam,"A10-west, Amsterdam",3716,52.339498,4.841021,Amsterdam,NL,waqi_search,2026-03-25T18:33:13.905205
a7sudlyonnaisfrance,"A7 Sud Lyonnais, France",3023,45.720081538692,4.818158942139,Lyon,FR,waqi_search,2026-03-25T18:32:25.327764
agiasofiagreece,"Agia Sofia, Greece",12413,40.6337738,22.9452877,Thessaloniki,GR,waqi_search,2026-03-25T18:33:27.110440
alejakrasiskiegokrakwmaopolskapoland,"Aleja Krasińskiego, Kraków, Małopolska, Poland",3402,50.057678,19.926189,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
alphonsarienstraatschiedam,"Alphons Arienstraat, Schiedam",5285,51.92139,4.40139,Rotterdam,NL,waqi_search,2026-03-25T18:33:16.084971
altonaelbhanghamburggermany,"Altona-Elbhang, Hamburg, Germany",6126,53.545245,9.94489,Hamburg,DE,waqi_search,2026-03-25T18:32:16.664799
amsterdam,Amsterdam,5771,52.3702157,4.8951679,Amsterdam,NL,waqi_search,2026-03-25T18:33:13.905205
anandvihardelhidelhiindia,"Anand Vihar, Delhi, Delhi, India",2553,28.6508,77.3152,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
ankarabahcelievlerturkey,"Ankara (Bahcelievler), Turkey",4094,39.91832282586664,32.82290472883654,Ankara,TR,waqi_search,2026-03-25T18:32:03.389275
ankarademetevlerturkey,"Ankara (Demetevler), Turkey",4096,39.96773888667552,32.79566972883605,Ankara,TR,waqi_search,2026-03-25T18:32:03.389275
ankarakayasturkey,"Ankara (Kayas), Turkey",4098,39.92538091031405,32.92676420975321,Ankara,TR,waqi_search,2026-03-25T18:32:03.389275
antalyaturkey,"Antalya, Turkey",4045,36.914883,30.700425,Antalya,TR,waqi_search,2026-03-25T18:32:09.995501
