date, pm25, pm10, o3, no2, so2, co
2026/3/1, 100, 31, 25, 23, 1, 
2026/3/2, 46, 57, 25, 26, 1, 
2026/3/3, 91, 58, 27, 26, 1, 
2026/3/4, 108, 48, 25, 25, 2, 
2026/3/5, 79, 57, 34, 24, 1, 
2026/3/6, 110, 54, 31, 27, 1, 
2026/3/7, 107, 58, 27, 23, 1, 
2026/3/8, 127, 60, 25, 32, 2, 
2026/3/9, 100, 54, 30, 28, 2, 
2026/3/10, 82, 71, 27, 28, 2, 
2026/3/11, 99, 64, 24, 26, 2, 
2026/3/12, 96, 48, 27, 26, 2, 
2026/3/13, 85, 49, 35, 26, 3, 
2026/3/14, 73, 37, 33, 23, 3, 
2026/3/15, 67, 38, 15, 16, 2, 
2026/3/16, 81, 31, 19, 18, 1, 
2026/3/17, 73, 42, 32, 20, 1, 
2026/3/18, 73, 43, 31, 24, 1, 
2026/3/19, 77, 46, 29, 21, 2, 
2026/3/20, 100, 23, 28, 15, 2, 
2026/3/21, 57, 32, 28, 15, 2, 
2026/3/22, 75, 42, 27, 27, 1, 
2026/3/23, 73, 56, 20, 29, 2, 
2026/3/24, 117, 63, , 21, 1, 
2026/3/25, 146, , , , , 
2026/2/1, 68, 48, 26, 15, 5, 
2026/2/2, 86, 54, 26, 18, 5, 
2026/2/3, 119, 53, 20, 21, 3, 
2026/2/4, 142, 45, 12, 17, 4, 
2026/2/5, 117, 32, 9, 18, 4, 
2026/2/6, 87, 65, 1, 17, 4, 
2026/2/7, 157, 39, 21, 12, 3, 
2026/2/8, 98, 34, 25, 16, 2, 
2026/2/9, 77, 45, 18, 23, 4, 
2026/2/10, 105, 53, 8, 26, 5, 
2026/2/11, 94, 47, 20, 28, 7, 
2026/2/12, 52, 29, 21, 19, 6, 
2026/2/13, 47, 25, 14, 15, 3, 
2026/2/14, 65, 21, 25, 14, 2, 
2026/2/15, 63, 28, 25, 18, 3, 
2026/2/16, 82, 51, 9, 26, 4, 
2026/2/17, 123, 39, 11, 22, 3, 
2026/2/18, 99, 60, 30, 20, 3, 
2026/2/19, 139, 49, 33, 22, 1, 
2026/2/20, 99, 50, 22, 21, 2, 
2026/2/21, 107, 31, 22, 19, 3, 
2026/2/22, 63, 14, 20, 18, 3, 
2026/2/23, 32, 8, 24, 16, 2, 
2026/2/24, 27, 25, 21, 20, 1, 
2026/2/25, 53, 49, 18, 25, , 
2026/2/26, 86, 66, 13, 28, 1, 
2026/2/27, 112, 53, 23, 24, 1, 
2026/2/28, 102, 46, 22, 20, 2, 
2026/1/1, 56, 24, 26, 11, 5, 
2026/1/2, 35, 27, 26, 11, 5, 
2026/1/3, 37, 18, 25, 11, 4, 
2026/1/4, 37, 45, 17, 21, 2, 
2026/1/5, 81, 59, 10, 17, 4, 
2026/1/6, 146, 41, 15, 19, 3, 
2026/1/7, 102, 47, 17, 18, 3, 
2026/1/8, 117, 32, 21, 23, 5, 
2026/1/9, 86, 41, 16, 16, 4, 
2026/1/10, 114, 20, 21, 8, 3, 
2026/1/11, 55, 21, 21, 20, 2, 
2026/1/12, 59, 53, 6, 28, 1, 
2026/1/13, 130, 68, 7, 25, 2, 
2026/1/14, 156, 40, 8, 23, 2, 
2026/1/15, 100, 40, 14, 20, 1, 
2026/1/16, 112, 60, 21, 20, , 
2026/1/17, 152, 55, 23, 21, 1, 
2026/1/18, 133, 86, 14, 32, 2, 
2026/1/19, 175, 120, 6, 38, 2, 
2026/1/20, 209, 102, 4, 39, 3, 
2026/1/21, 186, 102, 18, 33, 4, 
2026/1/22, 188, 70, 14, 19, 3, 
2026/1/23, 164, 47, 13, 16, 2, 
2026/1/24, 128, 50, 13, 16, 2, 
2026/1/25, 134, 39, 8, 21, 5, 
2026/1/26, 103, 48, 2, 23, 4, 
2026/1/27, 131, 58, 4, 21, 4, 
2026/1/28, 153, 29, 18, 16, 3, 
2026/1/29, 84, 21, 20, 13, 3, 
2026/1/30, 65, 41, 24, 10, 2, 
2026/1/31, 76, 40, 25, 9, 3, 
