date, pm25, pm10, no2, so2
2026/3/18, 46, 23, 7, 
2026/3/19, 51, 14, 4, 
2026/3/20, 33, 9, 7, 2
2026/3/21, 23, 8, 3, 
2026/3/22, 19, , , 
2026/3/24, 35, 14, 5, 
2026/3/25, 32, , , 
2024/1/1, 63, 17, , 7
2024/1/2, 39, 27, , 
2024/1/3, 52, 24, , 3
2024/1/4, 55, 31, , 
2024/1/5, 78, 37, , 1
2024/1/6, 76, 34, , 
2024/1/7, 71, 29, , 
2024/1/8, 60, 19, , 
2024/1/9, 49, 24, , 1
2024/1/10, 57, 21, , 
2024/1/11, 50, 26, , 
2024/1/12, 60, 29, , 
2024/1/13, 69, , , 
2024/1/15, 61, 38, , 2
2024/1/16, 86, 13, , 
2024/1/17, 30, 17, , 4
2024/1/18, 42, 15, , 
2024/1/19, 31, 44, , 3
2024/1/20, 83, 53, , 
2024/1/21, 95, 38, , 3
2024/1/22, 59, 34, , 8
2024/1/23, 69, 39, , 1
2024/1/24, 65, 44, , 
2024/1/25, 79, 41, , 
2024/1/26, 82, 32, , 1
2024/1/27, 66, 39, , 1
2024/1/28, 84, 34, , 1
2024/1/29, 78, 28, , 
2024/1/30, 64, 27, , 7
2024/1/31, 56, 41, , 3
2024/2/1, 72, 41, , 2
2024/2/2, 78, 27, , 
2024/2/3, 49, 40, , 2
2024/2/4, 84, 38, , 
2024/2/5, 60, 80, , 3
2024/2/6, 112, 61, , 
2024/2/7, 108, 56, , 2
2024/2/8, 90, 21, , 
2024/2/9, 44, 29, , 
2024/2/10, 57, 34, , 5
2024/2/11, 62, 29, , 
2024/2/12, 63, 33, , 
2024/2/13, 64, 42, , 
2024/2/14, 73, 39, , 
2024/2/15, 66, 31, , 
2024/2/16, 50, 38, , 
2024/2/17, 61, 26, , 
2024/2/18, 48, 25, , 
2024/2/19, 54, 33, , 
2024/2/20, 69, 31, , 
2024/2/21, 67, 26, , 2
2024/2/22, 44, 40, , 
2024/2/23, 72, 42, , 
2024/2/24, 84, 45, , 
2024/2/25, 86, 38, , 1
2024/2/26, 71, 22, , 
2024/2/27, 43, 36, , 1
2024/2/28, 69, 40, , 2
2024/2/29, 75, 51, , 1
2024/3/1, 94, 39, , 1
2024/3/2, 73, 35, , 
2024/3/3, 71, 34, , 
2024/3/4, 68, 37, , 1
2024/3/5, 60, 43, , 2
2024/3/6, 63, 39, , 
2024/3/7, 63, 28, , 
2024/3/8, 54, 36, , 1
2024/3/9, 68, 29, , 
2024/3/10, 65, 32, , 3
2024/3/11, 57, 29, , 6
2024/3/12, 51, , , 
2023/10/2, 116, 69, , 2
2023/10/3, 108, 58, , 1
2023/10/4, 95, 67, , 2
2023/10/5, 121, 77, , 2
2023/10/6, 139, 70, , 2
2023/10/7, 127, 61, , 1
2023/10/8, 119, 46, , 2
2023/10/9, 77, 47, , 1
2023/10/10, 79, 59, , 1
2023/10/11, 114, 55, , 2
2023/10/12, 94, 38, , 3
2023/10/13, 59, 46, , 1
2023/10/14, 69, 35, , 2
2023/10/15, 63, 36, , 1
2023/10/16, 76, , , 1
2023/10/18, 92, 56, , 9
2023/10/19, 92, 38, , 3
2023/10/20, 61, 57, , 1
2023/10/21, 93, 39, , 3
2023/10/22, 71, 40, , 6
2023/10/23, 63, 47, , 3
2023/10/24, 58, 65, , 1
2023/10/25, 91, 47, , 1
2023/10/26, 68, 45, , 1
2023/10/27, 63, 32, , 1
2023/10/28, 70, 35, , 1
2023/10/29, 57, 15, , 6
2023/10/30, 40, 22, , 7
2023/10/31, 55, 43, , 4
2023/11/1, 86, 31, , 6
2023/11/2, 70, 33, , 1
2023/11/3, 61, 30, , 1
2023/11/4, 59, 47, , 1
2023/11/5, 72, 37, , 1
2023/11/6, 57, 21, , 1
2023/11/7, 50, 30, , 1
2023/11/8, 58, 30, , 3
2023/11/9, 59, 42, , 2
2023/11/10, 78, 52, , 2
2023/11/11, 93, 50, , 3
