date, pm25, pm10, o3, no2, so2, co
2026/3/1, 38, 20, 23, 19, 1, 4
2026/3/2, 65, 28, 8, 36, , 9
2026/3/3, 78, 29, 30, 16, , 5
2026/3/4, 77, 19, 26, 17, , 3
2026/3/5, 55, 20, 31, 14, , 4
2026/3/6, 58, 20, 29, 7, , 2
2026/3/7, 56, 15, 30, 11, 1, 2
2026/3/8, 45, 18, 23, 11, 1, 3
2026/3/9, 45, 18, 22, 16, , 3
2026/3/10, 52, 25, 27, 20, , 3
2026/3/11, 69, 27, 30, 31, , 5
2026/3/12, 70, 30, 32, 22, , 4
2026/3/13, 74, 44, 27, 31, , 5
2026/3/14, 84, 32, 27, 4, , 2
2026/3/15, 78, , , , , 
2026/3/17, 95, 32, 23, 14, 6, 3
2026/3/18, 90, 19, 25, 12, 6, 2
2026/3/19, 53, 11, 20, 10, 6, 3
2026/3/20, 32, 8, 22, 8, 7, 2
2026/3/21, 23, 7, 26, 10, 6, 3
2026/3/22, 14, 11, 20, 11, 6, 4
2026/3/23, 36, 12, 19, 16, 6, 3
2026/3/24, 36, 11, 22, 9, 6, 3
2026/3/25, 32, , , , , 
2026/2/1, 93, 84, 22, 12, , 3
2026/2/2, 147, 64, 23, 9, , 2
2026/2/3, 145, 12, 19, 13, , 3
2026/2/4, 39, 25, 17, 23, 1, 5
2026/2/5, 70, 23, 28, 12, , 3
2026/2/6, 67, 20, 16, 22, , 5
2026/2/7, 68, 38, 20, 23, , 7
2026/2/8, 109, 37, 13, 19, , 5
2026/2/9, 108, 26, 17, 15, , 4
2026/2/10, 89, 22, 11, 52, , 6
2026/2/11, 71, 22, 14, 20, , 5
2026/2/12, 69, 24, 22, 6, , 5
2026/2/13, 76, 16, 18, 15, , 3
2026/2/14, 49, 21, 5, 29, , 9
2026/2/15, 59, 29, 25, 12, , 3
2026/2/16, 77, 41, 26, 11, , 3
2026/2/17, 99, 37, 28, 9, , 2
2026/2/18, 81, 14, 24, 5, , 3
2026/2/19, 51, 19, 24, 32, , 7
2026/2/20, 65, 24, 12, 17, , 5
2026/2/21, 67, 21, 23, 20, , 4
2026/2/22, 65, 16, 23, 12, , 4
2026/2/23, 56, 15, 24, 16, , 3
2026/2/24, 51, 18, 24, 10, , 3
2026/2/25, 54, 12, 26, 6, , 2
2026/2/26, 33, 12, 26, 6, 5, 2
2026/2/27, 13, 11, 24, 15, , 3
2026/2/28, 16, 16, 31, 12, , 4
2026/1/1, 70, 14, 23, 28, 2, 4
2026/1/2, 38, 47, 13, 52, 1, 15
2026/1/3, 134, 45, 18, 40, 2, 10
2026/1/4, 126, 40, 11, 44, 1, 11
2026/1/5, 115, 50, 17, 30, 1, 9
2026/1/6, 131, 53, 6, 46, 1, 12
2026/1/7, 136, 48, 19, 16, 3, 5
2026/1/8, 110, 24, 23, 11, 2, 3
2026/1/9, 62, 20, 18, 20, 2, 4
2026/1/10, 54, 59, 21, 15, 3, 5
