date, pm25, pm10, o3, no2, so2, co
2026/2/1, 23, 11, 36, 7, 1, 
2026/2/2, 31, 13, 29, 6, 1, 
2026/2/3, 22, 9, 35, 5, , 
2026/2/4, 21, 16, 36, 4, 1, 
2026/2/5, 25, 11, 34, 2, 1, 
2026/2/6, 22, 7, 34, 4, 1, 
2026/2/7, 21, 5, 37, 2, , 
2026/2/8, 18, 10, 26, 6, , 
2026/2/9, 20, 17, 24, 3, 1, 
2026/2/10, 18, 27, 30, 2, , 
2026/2/11, 21, 22, 35, 3, 1, 
2026/2/12, 26, 16, 21, 5, , 
2026/2/13, 33, , , , , 
2026/1/1, 55, 35, 5, 12, , 
2026/1/2, 65, 20, 22, 7, 1, 
2026/1/3, 64, 9, 29, 3, 1, 
2026/1/4, 30, 7, 26, 3, , 
2026/1/5, 23, 5, 29, 3, 1, 
2026/1/6, 17, 8, 19, 7, , 
2026/1/7, 21, 11, 24, 3, 2, 
2026/1/8, 26, 9, 25, 3, 1, 
2026/1/9, 23, 8, 26, 5, 1, 
2026/1/10, 22, 8, 27, 5, 2, 
2026/1/11, 26, 26, 9, 14, 1, 
2026/1/12, 58, 28, 8, 13, 1, 
2026/1/13, 73, 38, 12, 13, 1, 
2026/1/14, 79, 26, 21, 11, 1, 
2026/1/15, 51, 16, 16, 10, 1, 
2026/1/16, 41, 12, 13, 8, 1, 
2026/1/17, 43, 10, 23, 5, 1, 
2026/1/18, 34, 12, 16, 8, 1, 
2026/1/19, 31, 21, 22, 9, 1, 
2026/1/20, 33, 12, 20, 8, 1, 
2026/1/21, 32, 9, 32, 4, 1, 
2026/1/22, 22, 12, 29, 6, 1, 
2026/1/23, 26, 7, 35, 2, 1, 
2026/1/24, 18, 6, 36, 1, 1, 
2026/1/25, 18, 14, 30, 6, 1, 
2026/1/26, 23, 8, 39, 3, 1, 
2026/1/27, 17, 6, 35, 5, 1, 
2026/1/28, 18, 11, 29, 8, 1, 
2026/1/29, 24, 12, 32, 3, 1, 
2026/1/30, 25, 6, 35, 2, 1, 
2026/1/31, 17, 7, 30, 2, 1, 
