date, pm25, pm10, o3, no2, so2, co
2026/3/1, 25, 8, 30, 9, , 
2026/3/2, 23, 10, 30, 5, , 
2026/3/3, 32, 13, 31, 3, , 
2026/3/4, 40, 15, 30, 4, , 
2026/3/5, 45, 18, 32, 1, , 
2026/3/6, 53, 13, 32, 3, , 
2026/3/7, 33, 8, 31, 3, , 
2026/3/8, 19, 7, 29, 9, , 
2026/3/9, 15, 8, 32, 9, , 
2026/3/10, 21, 7, 29, 9, , 
2026/3/11, 22, 10, 30, 9, , 
2026/3/12, 29, 14, 34, 11, , 
2026/3/13, 49, 14, 25, 8, , 
2026/3/14, 48, 5, 28, 4, , 
2026/3/15, 18, 5, 24, 8, , 
2026/3/16, 14, 10, 25, 14, , 
2026/3/17, 25, 16, 39, 9, , 
2026/3/18, 51, 13, 35, 5, , 
2026/3/19, 38, 19, 37, 9, , 
2026/3/20, 54, 18, 40, 11, , 
2026/3/21, 52, 16, 29, 8, 1, 
2026/3/22, 54, 12, 34, 4, , 
2026/3/23, 44, 13, 38, 7, , 
2026/3/24, 46, 14, 31, 7, , 
2026/3/25, 46, , , , , 
2026/2/1, 9, 9, 30, 23, , 
2026/2/2, 25, 8, 29, 12, , 
2026/2/3, 21, 6, 22, 13, , 
2026/2/4, 15, 6, 30, 15, , 
2026/2/5, 15, 4, 31, 7, , 
2026/2/6, 10, 3, 32, 4, , 
2026/2/7, 9, 4, 28, 5, , 
2026/2/8, 13, 4, 25, 9, , 
2026/2/9, 11, 5, 20, 10, , 
2026/2/10, 14, 6, 30, 3, , 
2026/2/11, 13, 6, 36, 1, , 
2026/2/13, 19, 4, 29, 1, , 
2026/2/14, 11, 3, 29, 3, , 
2026/2/15, 7, 2, 29, 1, , 
2026/2/16, 5, 4, 31, 3, , 
2026/2/17, 13, 10, 30, 7, , 
2026/2/18, 27, 8, 34, 1, , 
2026/2/19, 19, 5, 33, 6, , 
2026/2/20, 9, 6, 26, 5, , 
2026/2/21, 16, 8, 23, 11, , 
2026/2/22, 28, 16, 18, 21, , 
2026/2/23, 47, 25, 31, 18, , 
2026/2/24, 67, 24, 34, 13, , 
2026/2/25, 69, 17, 29, 10, , 
2026/2/26, 58, 17, 33, 9, , 
2026/2/27, 57, 12, 29, 4, , 
2026/2/28, 47, 8, 30, 4, , 
2026/1/1, 38, 7, 23, 8, , 
2026/1/2, 27, 7, 24, 7, , 
2026/1/3, 27, 8, 18, 6, , 
2026/1/4, 28, 6, 19, 3, , 
2026/1/5, 20, 4, 27, 3, , 
2026/1/6, 17, 4, 24, 3, , 
2026/1/7, 15, 4, 27, 4, 1, 
2026/1/9, 10, 3, 28, 1, 1, 
2026/1/10, 5, 3, 25, 6, , 
2026/1/11, 11, 7, 24, 16, , 
2026/1/12, 19, 10, 28, 14, , 
2026/1/13, 31, 13, 21, 17, , 
2026/1/14, 45, 15, 24, 15, , 
2026/1/15, 53, 13, 20, 19, , 
2026/1/16, 44, 10, 29, 7, , 
2026/1/17, 33, 6, 23, 7, , 
2026/1/18, 19, 4, 24, 6, , 
2026/1/19, 10, 3, 26, 4, , 
2026/1/20, 11, 10, 22, 10, , 
2026/1/21, 26, 8, 25, 5, , 
2026/1/22, 23, 4, 30, 8, , 
2026/1/23, 11, 3, 27, 9, , 
2026/1/24, 10, 2, 32, 2, , 
2026/1/25, 7, 2, 32, 3, , 
2026/1/26, 7, 5, 34, 15, , 
2026/1/27, 13, 4, 33, 4, , 
2026/1/28, 12, , 30, 6, , 
2026/1/29, 7, 4, 31, 4, , 
2026/1/30, 13, 4, 32, 1, , 
2026/1/31, 11, 3, 30, 3, , 
2025/10/1, 25, 12, 36, 8, , 
2025/10/2, 28, 14, 35, 11, , 
2025/10/3, 29, 15, 43, 8, , 
2025/10/4, 39, 15, 29, 5, , 
2025/10/5, 35, 10, 29, 5, , 
2025/10/6, 19, 13, 32, 11, , 
2025/10/7, 21, 15, 33, 9, , 
2025/10/8, 29, 15, 28, 13, , 
2025/10/9, 31, 11, 30, 7, , 
2025/10/10, 29, 9, 36, 4, , 
2025/10/11, 21, 8, 34, 3, , 
2025/10/13, 25, 12, 30, 7, 1, 
2025/10/14, 31, 13, 29, 11, , 
2025/10/15, 37, 18, 29, 10, , 
2025/10/16, 49, 17, 25, 13, , 
2025/10/17, 47, 14, 28, 7, , 
2025/10/18, 42, 10, 35, 3, 1, 
2025/10/19, 29, 11, 35, 8, 1, 
2025/10/20, 23, 11, 26, 7, , 
2025/10/21, 17, 9, 24, 8, , 
2025/10/22, 13, 14, 35, 4, , 
2025/10/23, 16, 15, 29, 8, , 
2025/10/25, 22, 6, 23, 5, , 
2025/10/26, 13, 5, 26, 6, , 
2025/10/27, 10, 8, 29, 16, , 
2025/10/28, 17, 10, 27, 12, , 
2025/10/30, 16, 8, 22, 9, 1, 
2025/10/31, 17, 8, 34, 10, , 
2025/11/1, 21, 8, 29, 7, , 
2025/11/2, 23, 10, 23, 9, , 
2025/11/3, 17, 17, 26, 12, , 
2025/11/4, 25, 13, 17, 15, , 
2025/11/5, 19, 7, 27, 7, , 
2025/11/6, 16, 4, 23, 5, , 
2025/11/7, 11, 6, 18, 8, , 
2025/11/8, 17, 5, 23, 4, , 
2025/11/9, 12, 7, 21, 13, , 
2025/11/10, 15, 12, 21, 17, 1, 
2025/11/11, 25, 14, 30, 16, , 
2025/11/12, 32, 15, 32, 6, , 
2025/11/13, 35, 41, 26, 12, , 
2025/11/14, 63, 56, 29, 6, , 
2025/11/15, 67, 8, 29, 3, , 
2025/11/16, 15, 4, 24, 9, , 
2025/11/17, 11, 9, 24, 6, , 
2025/11/18, 19, 11, 24, 4, 1, 
2025/11/19, 21, 15, 25, 10, 1, 
2025/11/20, 31, 13, 30, 2, 1, 
2025/11/21, 25, , 28, 4, 1, 
2025/11/25, 11, 11, 27, 4, 1, 
2025/11/26, 9, 10, 27, 10, 1, 
2025/11/27, 11, 16, 16, 13, 1, 
2025/11/28, 23, 15, 19, 9, 1, 
2025/11/29, 30, 10, 19, 5, 1, 
2025/11/30, 27, 10, 19, 7, 1, 
2025/12/1, 32, 10, 21, 5, 1, 
2025/12/2, 25, 10, 20, 6, 1, 
2025/12/3, 28, 10, 21, 5, 1, 
2025/12/4, 28, 6, 23, 12, 1, 
2025/12/5, 15, 7, 22, 8, 1, 
2025/12/6, 17, 6, 21, 6, 1, 
2025/12/7, 18, 7, 21, 11, 1, 
2025/12/8, 23, 9, 22, 14, 1, 
2025/12/9, 29, 16, 16, 22, 1, 
2025/12/10, 48, 17, 22, 14, 1, 
2025/12/11, 51, 15, 23, 17, 1, 
2025/12/12, 40, 14, 24, 6, 1, 
2025/12/13, 34, 8, 25, 6, , 
2025/12/14, 22, 11, 26, 7, 1, 
2025/12/15, 34, 36, 18, 14, 1, 
2025/12/16, 59, 29, 21, 9, 1, 
2025/12/17, 51, 20, 20, 14, 1, 
2025/12/18, 44, 20, 7, 21, 1, 
2025/12/19, 48, 15, 17, 13, 1, 
2025/12/20, 38, 7, 21, 8, 1, 
2025/12/21, 23, 5, 27, 6, 1, 
2025/12/22, 17, 4, 27, 5, , 
2025/12/23, 13, 3, 25, 5, , 
2025/12/24, 11, 4, 17, 4, , 
2025/12/25, 14, 4, 32, 2, , 
2025/12/26, 13, 7, 31, 3, , 
2025/12/27, 17, 5, 28, 3, , 
2025/12/28, 15, , , , , 
2025/7/1, 52, 27, 48, 12, , 
2025/7/2, 48, 22, 39, 7, , 
2025/7/3, 47, 23, 44, 7, , 
2025/7/4, 51, 22, 53, 8, , 
2025/7/5, 50, 21, 51, 7, , 
2025/7/6, 53, 17, 44, 3, , 
2025/7/7, 41, 17, 34, 3, , 
2025/7/8, 29, 18, 39, 4, , 
2025/7/9, 31, 16, 39, 7, , 
2025/7/10, 28, 16, 39, 6, , 
2025/7/11, 34, 14, 38, 4, , 
2025/7/12, 34, 10, 51, 4, , 
2025/7/13, 21, 8, 44, 9, , 
2025/7/14, 19, 13, 41, 7, , 
2025/7/15, 30, 16, 40, 5, , 
2025/7/16, 42, 19, 37, 6, , 
2025/7/17, 44, 23, 39, 7, , 
2025/7/18, 46, 20, 35, 4, , 
2025/7/19, 44, 17, 39, 2, , 
2025/7/20, 44, 19, 33, 3, , 
2025/7/21, 40, 15, 32, 3, , 
2025/7/22, 28, 14, 31, 6, , 
2025/7/23, 27, 14, 26, 10, , 
2025/7/24, 27, 10, 37, 5, , 
2025/7/25, 22, 11, 39, 4, , 
2025/7/26, 26, 14, 40, 2, , 
2025/7/27, 36, 15, 36, 5, , 
2025/7/28, 39, 17, 41, 5, , 
2025/7/29, 39, 18, 39, 6, , 
2025/7/30, 39, 16, 35, 4, , 
2025/7/31, 36, 15, 37, 3, , 
2025/8/2, 32, 11, 43, 2, , 
2025/8/3, 28, 13, 36, 3, , 
2025/8/4, 34, 19, 42, 7, , 
2025/8/5, 46, 21, 43, 9, , 
2025/8/6, 43, 18, 45, 6, , 
2025/8/7, 47, 24, 43, 13, , 
2025/8/8, 58, 28, 43, 8, , 
2025/8/9, 64, , 52, 5, , 
2025/8/11, 68, 40, 48, 12, , 
2025/8/12, 71, 39, 53, 8, , 
2025/8/13, 72, 35, 54, 8, , 
2025/8/14, 64, 29, 56, 8, , 
2025/8/15, 60, 26, 64, 6, , 
2025/8/16, 58, 28, 58, 7, , 
2025/8/17, 63, 28, 45, 7, , 
2025/8/18, 64, 28, 39, 4, , 
2025/8/19, 60, 26, 40, 3, , 
2025/8/20, 58, 20, 43, 2, , 
2025/8/21, 51, 15, 43, 3, , 
2025/8/22, 36, 13, 45, 2, , 
2025/8/23, 36, 14, 41, 4, , 
2025/8/24, 42, 18, 34, 6, , 
2025/8/25, 51, 27, 39, 11, , 
2025/8/26, 59, 28, 37, 4, , 
2025/8/27, 59, 34, 34, 6, , 
2025/8/28, 63, 21, 34, 3, , 
2025/8/29, 43, 9, 35, 3, , 
2025/8/30, 19, 10, 38, 2, , 
2025/8/31, 21, 11, 35, 4, , 
2025/9/1, 25, 10, 34, 3, , 
2025/9/2, 15, 12, 39, 6, , 
2025/9/3, 19, 13, 36, 5, , 
2025/9/4, 25, 10, 30, 3, , 
2025/9/5, 23, 8, 32, 5, , 
2025/9/6, 17, 10, 35, 3, , 
2025/9/7, 22, 14, 33, 4, , 
2025/9/8, 32, 10, 31, 5, , 
2025/9/9, 24, 8, 31, 5, , 
2025/9/10, 15, 10, 29, 2, , 
2025/9/11, 23, 13, 28, 3, , 
2025/9/12, 28, 11, 25, 5, , 
2025/9/13, 25, 9, 29, 5, , 
2025/9/14, 22, 11, 32, 5, , 
2025/9/15, 30, 12, 24, 6, , 
2025/9/16, 29, 12, 30, 9, , 
2025/9/17, 25, 17, 38, 9, 1, 
2025/9/18, 42, 18, 33, 7, , 
2025/9/19, 45, 11, 31, 4, , 
2025/9/20, 29, 10, 28, 4, , 
2025/9/21, 25, 11, 27, 6, , 
2025/9/22, 19, 7, 34, 5, , 
2025/9/23, 11, 6, 35, 5, , 
2025/9/24, 10, 8, 33, 7, , 
2025/9/25, 13, 10, 36, 7, , 
2025/9/26, 17, 9, 31, 5, , 
2025/9/29, 24, 12, 35, 10, , 
2025/9/30, 30, , 35, 6, , 
2025/4/1, 36, 22, 39, 3, , 
2025/4/2, 35, 13, 37, 1, , 
2025/4/3, 26, 11, 38, 1, , 
2025/4/4, 23, 19, 37, 5, , 
2025/4/5, 36, 19, 16, 13, , 
2025/4/6, 47, 23, 39, 9, , 
2025/4/7, 38, 28, 35, 9, , 
2025/4/8, 52, 26, 37, 4, , 
2025/4/9, 53, 20, 36, 2, , 
2025/4/10, 45, 24, 39, 6, , 
2025/4/11, 48, 20, 37, 7, , 
2025/4/12, 49, 20, 39, 5, , 
2025/4/13, 55, 25, 36, 5, , 
2025/4/14, 49, 28, 37, 4, , 
2025/4/15, 41, 18, 35, 4, , 
2025/4/16, 29, 16, 39, 3, , 
2025/4/17, 15, 11, 38, 4, , 
2025/4/18, 19, 13, 35, 3, , 
2025/4/19, 34, 7, 37, 3, , 
2025/4/20, 14, 7, 39, 3, , 
2025/4/21, 15, 10, 28, 11, , 
2025/4/22, 20, 11, 33, 5, , 
2025/4/23, 23, 16, 29, 8, , 
2025/4/24, 24, 18, 36, 9, , 
2025/4/25, 34, 17, 28, 7, , 
2025/4/26, 41, 8, 27, 4, , 
2025/4/27, 24, 5, 26, 8, , 
2025/4/28, 13, 13, 39, 8, 1, 
2025/4/29, 38, 17, 36, 4, , 
2025/4/30, 39, 14, 44, 2, , 
2025/5/1, 29, 14, 43, 5, , 
2025/5/2, 35, 28, 41, 3, , 
2025/5/3, 49, 36, 38, 4, , 
2025/5/4, 62, 18, 32, 6, , 
2025/5/5, 38, 13, 35, 5, , 
2025/5/6, 21, 10, 39, 4, , 
2025/5/7, 21, 10, 41, 8, , 
2025/5/8, 22, 8, 39, 5, , 
2025/5/10, 23, 9, 37, 3, , 
2025/5/11, 22, 9, 36, 7, , 
2025/5/12, 21, 11, 37, 8, , 
2025/5/13, 27, 10, 31, 6, 1, 
2025/5/14, 27, 11, 39, 6, , 
2025/5/15, 27, 15, 45, 3, , 
2025/5/16, 28, 16, 42, 3, , 
2025/5/17, 39, 13, 44, 4, , 
2025/5/18, 35, 12, 45, 7, , 
2025/5/19, 30, 13, 39, 4, , 
2025/5/20, 25, 17, 42, 7, 1, 
2025/5/21, 35, 16, 39, 4, , 
2025/5/22, 35, 12, 41, 4, , 
2025/5/23, 27, 13, 45, 5, , 
2025/5/24, 32, 13, 42, 5, , 
2025/5/25, 35, 15, 37, 9, , 
2025/5/26, 36, 16, 35, 7, , 
2025/5/27, 36, 16, 38, 10, 1, 
2025/5/28, 34, 19, 38, 13, 1, 
2025/5/29, 40, 23, 41, 14, 1, 
2025/5/30, 46, 21, 41, 12, 1, 
2025/5/31, 38, 17, 40, 6, 1, 
2025/6/1, 36, 14, 35, 5, 1, 
2025/6/2, 30, 16, 40, 6, 1, 
2025/6/3, 34, 20, 40, 4, 1, 
2025/6/4, 42, 20, 39, 4, 1, 
2025/6/5, 46, 23, 40, 8, 1, 
2025/6/6, 54, 23, 37, 5, 1, 
2025/6/7, 56, 19, 33, 3, 1, 
2025/6/8, 49, 17, 39, 2, 1, 
2025/6/9, 44, 19, 32, 6, 1, 
2025/6/10, 49, 30, 41, 10, 1, 
2025/6/11, 56, 32, 42, 8, 1, 
2025/6/12, 63, 33, 46, 4, 1, 
2025/6/13, 78, 32, 43, 6, 1, 
2025/6/14, 79, 30, 37, 4, 1, 
2025/6/15, 70, 24, 36, 6, 1, 
2025/6/16, 57, 22, 37, 8, 1, 
2025/6/17, 45, 21, 49, 7, 1, 
2025/6/18, 48, 27, 37, 12, 1, 
2025/6/19, 54, 29, 43, 7, , 
2025/6/20, 55, 28, 45, 6, , 
2025/6/21, 53, 21, 41, 5, , 
2025/6/22, 51, 32, 43, 7, , 
2025/6/23, 50, 42, 43, 8, , 
2025/6/24, 85, 29, 41, 12, , 
2025/6/25, 59, 30, 50, 7, , 
2025/6/26, 55, 27, 42, 5, , 
2025/6/27, 52, 28, 43, 9, , 
2025/6/28, 54, 22, 50, 11, , 
2025/6/29, 51, 20, 42, 14, , 
2025/6/30, 43, 26, 45, 10, , 
2025/1/1, 60, 14, 31, 4, , 
2025/1/2, 39, 19, 20, 5, , 
2025/1/3, 31, 17, 28, 6, , 
2025/1/4, 42, 10, 28, 5, , 
2025/1/5, 38, 15, 28, 4, , 
2025/1/6, 39, 13, 29, 6, , 
2025/1/7, 25, 14, 30, 6, , 
2025/1/8, 19, 16, 29, 4, , 
2025/1/9, 18, 20, 22, 13, , 
2025/1/10, 23, 13, 30, 5, , 
2025/1/11, 23, 7, 33, 5, , 
2025/1/12, 13, 20, 21, 16, , 
2025/1/13, 28, 23, 23, 15, , 
2025/1/14, 39, 22, 21, 16, , 
2025/1/15, 48, 25, 28, 11, , 
2025/1/16, 53, 14, 28, 8, , 
2025/1/17, 30, 12, 22, 15, , 
2025/1/18, 30, 13, 28, 10, , 
2025/1/19, 36, 19, 28, 20, , 
2025/1/20, 41, 29, 25, 23, , 
2025/1/21, 54, 32, 30, 14, , 
2025/1/22, 63, 23, 29, 11, , 
2025/1/23, 43, 17, 20, 16, , 
2025/1/24, 44, 17, 28, 11, , 
2025/1/25, 45, 9, 30, 6, , 
2025/1/26, 25, 10, 33, 7, , 
2025/1/27, 19, 11, 32, 3, , 
2025/1/28, 16, 10, 30, 7, , 
2025/1/29, 14, 12, 28, 5, , 
2025/1/30, 22, 12, 21, 9, , 
2025/1/31, 25, 12, 22, 10, , 
2025/2/1, 31, 9, 25, 5, , 
2025/2/2, 35, 11, 21, 12, , 
2025/2/3, 32, 17, 24, 16, 1, 
2025/2/4, 38, 27, 21, 18, 1, 
2025/2/5, 59, 35, 28, 15, 1, 
2025/2/6, 81, 26, 37, 12, 1, 
2025/2/7, 66, 14, 37, 7, , 
2025/2/8, 44, 9, 30, 8, , 
2025/2/9, 29, 10, 27, 16, 1, 
2025/2/10, 32, 11, 32, 12, 1, 
2025/2/11, 29, 11, 26, 14, , 
2025/2/12, 32, 10, 21, 9, 1, 
2025/2/13, 33, 16, 16, 16, 1, 
2025/2/14, 41, 23, 29, 11, 1, 
2025/2/15, 58, 17, 32, 8, , 
2025/2/16, 45, 26, 22, 20, 1, 
2025/2/17, 64, 28, 29, 14, 1, 
2025/2/18, 69, 20, 33, 9, 1, 
2025/2/19, 55, 20, 31, 8, , 
2025/2/20, 54, 21, 25, 12, , 
2025/2/21, 57, 21, 31, 9, , 
2025/2/22, 54, 13, 21, 11, , 
2025/2/23, 39, 11, 29, 16, , 
2025/2/24, 32, 16, 21, 12, , 
2025/2/25, 43, 13, 26, 8, , 
2025/2/26, 34, 14, 27, 15, , 
2025/2/27, 31, 17, 32, 8, , 
2025/2/28, 39, 16, 29, 6, , 
2025/3/1, 28, 14, 34, 2, , 
2025/3/2, 23, 15, 35, 4, , 
2025/3/3, 34, 17, 36, 6, , 
2025/3/4, 37, 17, 35, 5, , 
2025/3/5, 36, 19, 35, 4, , 
2025/3/6, 43, 16, 35, 6, , 
2025/3/7, 46, 15, 35, 6, , 
2025/3/8, 41, 18, 36, 4, , 
2025/3/9, 42, 10, 32, 13, , 
2025/3/10, 20, 11, 30, 15, , 
2025/3/11, 23, 10, 28, 9, , 
2025/3/12, 25, 10, 33, 8, , 
2025/3/13, 23, 7, 30, 10, , 
2025/3/14, 17, 6, 30, 4, , 
2025/3/15, 20, 9, 28, 6, , 
2025/3/16, 30, 10, 25, 9, , 
2025/3/17, 34, 13, 34, 8, , 
2025/3/18, 37, 16, 34, 5, , 
2025/3/19, 40, 25, 34, 3, , 
2025/3/20, 54, 33, 35, 3, , 
2025/3/21, 62, 22, 30, 4, , 
2025/3/22, 50, 11, 27, 3, , 
2025/3/23, 27, 6, 29, 3, , 
2025/3/24, 13, 10, 18, 4, , 
2025/3/25, 23, 13, 29, 3, , 
2025/3/26, 35, 17, 34, 2, , 
2025/3/27, 46, 20, 31, 3, , 
2025/3/28, 52, 26, 36, 2, , 
2025/3/29, 40, 15, 34, 2, , 
2025/3/30, 17, 15, 31, 4, , 
2025/3/31, 22, 24, 40, 5, , 
2024/10/1, 23, 15, 26, 11, , 
2024/10/2, 31, 12, 29, 4, , 
2024/10/3, 23, 9, 33, 5, , 
2024/10/4, 18, 10, 37, 8, , 
2024/10/5, 21, 8, 31, 6, 1, 
2024/10/6, 19, 24, 22, 11, , 
2024/10/7, 48, 23, 28, 4, , 
2024/10/8, 38, 10, 33, 7, , 
2024/10/9, 20, 14, 30, 5, , 
2024/10/10, 23, 14, 24, 10, , 
2024/10/11, 22, 13, 30, 6, , 
2024/10/12, 27, 10, 30, 3, , 
2024/10/13, 32, 14, 26, 8, , 
2024/10/14, 41, 17, 28, 5, , 
2024/10/15, 36, 31, 34, 7, , 
2024/10/16, 53, 23, 30, 7, , 
2024/10/17, 41, 12, 24, 4, , 
2024/10/18, 18, 12, 28, 7, , 
2024/10/20, 20, 12, 29, 9, , 
2024/10/21, 22, 16, 26, 6, , 
2024/10/22, 30, 19, 24, 14, , 
2024/10/23, 28, 19, 31, 12, , 
2024/10/24, 43, 18, 30, 10, , 
2024/10/25, 44, 12, 25, 7, , 
2024/10/26, 29, 7, 32, 3, , 
2024/10/27, 15, 9, 30, 4, , 
2024/10/28, 21, 13, 30, 5, , 
2024/10/29, 31, 16, 31, 4, , 
2024/10/30, 36, 19, 28, 6, , 
2024/10/31, 40, 21, 27, 4, , 
2024/11/1, 49, 20, 29, 3, , 
2024/11/2, 46, 19, 27, 3, , 
2024/11/3, 48, 25, 26, 6, , 
2024/11/4, 55, 25, 21, 10, , 
2024/11/5, 53, 26, 26, 8, , 
2024/11/6, 51, 17, 29, 7, , 
2024/11/7, 38, 18, 26, 9, , 
