date, pm25, pm10, o3, no2, so2, co
2026/3/1, 89, 63, 12, 23, , 
2026/3/2, 141, 64, 21, 24, , 
2026/3/3, 153, 53, 27, 23, , 
2026/3/4, 135, 45, 30, 15, , 
2026/3/5, 119, 44, 34, 14, , 
2026/3/6, 113, 32, 32, 12, , 
2026/3/7, 82, 24, 32, 7, , 
2026/3/8, 68, 19, 31, 4, , 
2026/3/9, 46, 16, 29, 5, , 
2026/3/10, 47, 18, 29, 8, , 
2026/3/11, 54, 30, 30, 12, , 
2026/3/12, 67, 20, 32, 6, , 
2026/3/13, 55, 26, 34, 4, , 
2026/3/14, 61, 28, 29, 4, , 
2026/3/15, 76, 32, 26, 7, , 
2026/3/16, 77, 41, 21, 9, , 
2026/3/17, 87, 37, 23, 4, , 
2026/3/18, 66, 29, 19, 8, , 
2026/3/19, 64, 26, 17, 11, , 
2026/3/20, 63, 29, 24, 12, , 
2026/3/21, 73, 26, 19, 5, , 
2026/3/22, 73, 20, 24, 5, , 
2026/3/23, 61, 26, 29, 7, , 
2026/3/24, 65, 49, 21, 14, , 
2026/3/25, 108, , , , , 
2026/2/1, 58, 18, 19, 7, , 
2026/2/2, 62, 28, 21, 9, , 
2026/2/3, 82, 22, 26, 7, , 
2026/2/4, 67, 19, 22, 8, , 
2026/2/5, 65, 24, 18, 13, , 
2026/2/6, 74, 41, 11, 8, , 
2026/2/7, 121, 40, 16, 12, , 
2026/2/8, 120, 22, 19, 9, , 
2026/2/9, 72, 15, 17, 6, , 
2026/2/10, 57, 21, 18, 12, , 
2026/2/11, 66, 20, 25, 10, , 
2026/2/12, 61, 25, 18, 12, , 
2026/2/13, 71, 20, 19, 9, , 
2026/2/14, 63, 12, 18, 4, , 
2026/2/15, 47, 24, 18, 8, , 
2026/2/16, 79, 23, 17, 6, , 
2026/2/17, 77, 19, 21, 11, , 
2026/2/18, 62, 13, 26, 6, , 
2026/2/19, 44, 16, 24, 7, , 
2026/2/20, 56, 22, 22, 3, , 
