date, pm25, pm10, o3, no2, so2
2026/3/1, 97, 22, 28, 12, 
2026/3/2, 56, 44, 30, 15, 
2026/3/3, 102, 53, 29, 14, 
2026/3/4, 134, 43, 29, 15, 
2026/3/5, 105, 37, 42, 12, 
2026/3/6, 83, 44, 43, 13, 
2026/3/7, 108, 43, 42, 11, 
2026/3/8, 108, 39, 39, 12, 
2026/3/9, 87, 39, 35, 7, 
2026/3/10, 82, 52, 36, 13, 
2026/3/11, 109, 34, 28, 12, 
2026/3/12, 76, 26, 36, 8, 
2026/3/13, 61, 27, 38, 3, 
2026/3/14, 55, 23, 26, 6, 
2026/3/15, 64, 18, 29, 7, 
2026/3/16, 53, 10, 26, 5, 
2026/3/17, 37, 37, 39, 3, 
2026/3/18, 90, 32, 41, 8, 
2026/3/19, 69, 40, 38, 8, 
2026/3/20, 99, 25, 31, 4, 
2026/3/21, 76, 24, 34, 8, 
2026/3/22, 70, 31, 38, 10, 
2026/3/23, 77, 34, 42, 11, 
2026/3/24, 81, 44, 11, 14, 
2026/3/25, 103, , , , 
2026/2/18, 42, 28, 26, 7, 
2026/2/19, 83, 27, 37, 4, 
2026/2/20, 80, 46, 19, 13, 
2026/2/21, 121, 49, 7, 16, 
2026/2/22, 123, 12, 29, 10, 
2026/2/23, 36, 6, 31, 6, 
2026/2/24, 20, 19, 28, 10, 
2026/2/25, 54, 27, 27, 11, 
2026/2/26, 71, 38, 27, 15, 
2026/2/27, 88, 36, 36, 11, 
2026/2/28, 93, 38, 28, 10, 
2026/1/1, 33, 9, 27, 6, 
2026/1/2, 28, 9, 29, 5, 
2026/1/3, 28, 13, 26, 9, 
2026/1/4, 41, 35, 12, 17, 
2026/1/5, 87, 32, 19, 11, 
2026/1/6, 85, 36, 25, 10, 
2026/1/7, 103, 38, 18, 14, 
2026/1/8, 98, 34, 18, 11, 
2026/1/9, 93, 41, 24, 8, 
2026/1/10, 119, 12, 28, 5, 
2026/1/11, 39, 27, 22, 15, 
2026/1/12, 57, 36, 14, 16, 
2026/1/13, 97, 51, 14, 13, 
2026/1/14, 143, 60, 11, 17, 
2026/1/15, 156, 42, 14, 14, 
2026/1/16, 118, 24, 23, 5, 
2026/1/17, 76, 20, 30, 5, 
2026/1/18, 67, 37, 26, 8, 
2026/1/19, 103, 31, 25, 7, 
2026/1/20, 87, 35, 27, 11, 
2026/1/21, 92, 48, 6, 20, 
