date, pm25, pm10, o3, no2, so2, co
2026/3/1, 58, 45, 16, 44, 14, 43
2026/3/2, 78, 60, 4, 52, 19, 45
2026/3/3, 128, 62, 25, 32, 9, 42
2026/3/4, 142, 58, 21, 49, 11, 43
2026/3/5, 127, 59, 4, 51, 12, 42
2026/3/6, 127, 45, 35, 27, 5, 40
2026/3/7, 86, 29, 32, 29, 6, 40
2026/3/8, 59, 27, 24, 28, 6, 40
2026/3/9, 55, 35, 26, 39, 6, 41
2026/3/10, 55, 51, 22, , 6, 43
2026/3/11, 81, 46, 27, , 4, 41
2026/3/12, 75, 45, 26, , 3, 42
2026/3/13, 80, 57, 28, , 7, 43
2026/3/14, 119, 55, 6, , 5, 43
2026/3/15, 118, , , , , 
2026/3/17, 104, 53, 29, 33, 4, 42
2026/3/18, 93, 32, 28, 26, 1, 41
2026/3/19, 55, 15, 27, 22, 1, 42
2026/3/20, 22, 14, 27, 25, 1, 42
2026/3/21, 26, 19, 14, 27, 2, 42
2026/3/22, 39, 20, 11, 25, 3, 43
2026/3/23, 44, 33, 16, 28, 5, 43
2026/3/24, 66, 37, 22, 14, 2, 
2026/3/25, 76, , , , , 
2026/2/1, 66, 24, 17, 16, 4, 16
2026/2/2, 53, 20, 15, 14, 3, 11
2026/2/3, 51, 42, 7, 26, 13, 14
2026/2/4, 93, 46, 11, 22, 13, 40
2026/2/5, 93, 33, 21, 15, 13, 39
2026/2/6, 67, 34, 18, 17, 8, 41
2026/2/7, 68, 42, 12, 20, 7, 44
2026/2/8, 94, 34, 6, 22, 6, 42
2026/2/9, 85, 30, 12, 18, 3, 40
2026/2/10, 63, 37, 10, , 4, 41
2026/2/11, 70, 48, 30, 7, 10, 41
2026/2/12, 95, 26, 25, 8, 6, 40
2026/2/13, 58, 23, 27, 5, 4, 40
2026/2/14, 43, 27, 8, 23, 10, 42
2026/2/15, 54, 49, 22, 10, 3, 40
2026/2/16, 97, 48, 25, 29, 4, 40
2026/2/17, 84, 21, 30, 21, 1, 40
2026/2/18, 34, 16, 12, 30, 2, 41
2026/2/19, 31, 55, 24, 43, 15, 43
2026/2/20, 111, 58, 14, 45, 18, 42
2026/2/21, 105, 28, 24, 29, 2, 40
2026/2/22, 55, 23, 21, 30, 3, 40
2026/2/23, 50, 55, 15, 46, 14, 42
2026/2/24, 127, 41, 23, 28, 3, 41
2026/2/25, 83, 23, 24, 39, 2, 41
2026/2/26, 46, 25, 22, 28, 2, 40
2026/2/27, 48, 28, 22, 29, 3, 40
2026/2/28, 57, 31, 31, 27, 2, 40
2026/1/1, 60, 43, 12, 28, 10, 15
2026/1/2, 84, 43, 32, 12, 12, 12
2026/1/3, 87, 24, 33, 1, 7, 7
2026/1/4, 26, 24, 33, 19, 12, 10
2026/1/5, 39, 46, 9, 25, 17, 13
2026/1/6, 75, 49, 29, 12, 12, 14
2026/1/7, 74, 29, 31, 1, 11, 14
2026/1/8, 41, 17, 29, 3, 8, 15
2026/1/9, 20, 20, 28, 5, 10, 15
2026/1/10, 31, 17, 31, 7, 9, 14
2026/1/11, 22, 13, 20, 15, 6, 17
2026/1/12, 21, 17, 22, 12, 5, 16
2026/1/13, 40, 46, 4, 33, 15, 23
2026/1/14, 113, 65, 1, 29, 16, 29
2026/1/15, 158, 62, 8, 26, 15, 29
2026/1/16, 156, 38, 19, 13, 8, 13
2026/1/17, 85, 21, 20, 12, 6, 16
2026/1/18, 46, 17, 12, 15, 4, 35
2026/1/19, 37, 25, 21, 21, 8, 14
2026/1/20, 57, 33, 12, 23, 12, 16
2026/1/21, 67, 35, 12, 22, 19, 14
2026/1/22, 67, 46, 3, 30, 30, 26
2026/1/23, 87, 59, 2, 32, 37, 41
2026/1/24, 124, 64, 6, 25, 28, 37
2026/1/25, 147, 59, 13, 24, 24, 20
2026/1/26, 109, 28, 31, 18, 14, 12
2026/1/27, 44, 42, 28, 18, 18, 13
2026/1/28, 69, 30, 33, 4, 10, 8
2026/1/29, 51, 19, 33, 4, 7, 9
2026/1/30, 27, 18, 8, 16, 7, 13
2026/1/31, 55, 23, 10, 11, 5, 13
2025/10/1, 39, 27, 21, 20, 29, 7
2025/10/2, 56, 42, 13, 24, 30, 7
2025/10/3, 60, 35, 28, 10, 27, 
2025/10/14, 70, 37, 17, 14, 27, 27
2025/10/15, 67, 41, 20, 14, 26, 22
2025/10/16, 92, 37, 20, 15, 27, 6
2025/10/17, 45, 53, 21, 11, 28, 
2025/10/18, 149, 56, 11, 9, 27, 
2025/10/19, 149, 37, 15, 16, 28, 7
2025/10/24, 93, 29, 26, 6, 33, 5
2025/10/26, 93, 37, 24, 10, 31, 5
2025/11/4, 158, 66, 8, 32, 29, 23
2025/11/5, 159, 61, 7, 26, 1, 27
2025/11/7, 146, 64, 8, 32, 1, 38
2025/11/8, 145, 65, 10, 31, 2, 40
2025/11/9, 149, 63, 6, 38, 7, 13
2025/11/10, 131, 67, 12, 18, 4, 
2025/11/11, 147, 31, 8, 19, , 6
2025/11/12, 65, 30, 16, 19, 1, 6
2025/11/13, 62, 43, 12, 22, 3, 13
2025/11/14, 85, 57, 1, 34, , 14
2025/11/15, 116, 65, 11, 34, 5, 19
2025/11/16, 156, 73, 7, 37, 7, 14
2025/11/17, 158, 75, 4, 43, 10, 15
2025/11/18, 153, 77, 2, 47, 12, 17
2025/11/19, 155, 80, 10, 43, 12, 23
2025/11/20, 158, 68, 11, 34, 9, 23
2025/11/21, 138, 67, 9, 31, 12, 21
2025/11/22, 125, 83, 5, 35, 8, 41
2025/11/23, 159, 36, 16, 22, 4, 13
2025/11/24, 67, 54, 10, 37, 7, 18
2025/11/25, 99, 66, 2, 39, 7, 23
2025/11/26, 148, 71, 6, 41, 13, 22
2025/11/27, 151, 71, 1, 36, 10, 21
2025/11/28, 146, 45, 7, 21, 6, 16
2025/11/29, 85, 44, 1, 24, 7, 19
2025/11/30, 90, 36, 5, 25, 5, 14
2025/12/1, 79, 50, 7, 20, 5, 19
2025/12/2, 106, 60, 2, 37, 4, 25
2025/12/3, 140, 68, 4, 32, 8, 30
2025/12/4, 152, 56, 5, 26, 10, 19
2025/12/5, 116, 51, 8, 21, 9, 19
2025/12/6, 96, 51, 1, 20, 8, 21
2025/12/7, 84, 20, 14, 13, 5, 14
2025/12/8, 35, 21, 8, 15, 6, 13
2025/12/9, 35, 56, 6, 28, 8, 20
2025/12/10, 102, 60, 4, 32, 7, 31
2025/12/11, 139, 66, 2, 32, 7, 33
2025/12/12, 154, 63, 5, 29, 6, 23
2025/12/13, 160, 40, 10, 20, 5, 14
2025/12/14, 106, 36, 5, 23, 4, 14
2025/12/15, 80, 60, 8, 33, 8, 20
2025/12/16, 142, 61, 2, 39, 12, 21
2025/12/17, 148, 63, 2, 39, 6, 22
2025/12/18, 150, , , 47, , 22
2025/12/19, 152, 81, 3, 44, 12, 22
2025/12/20, 163, 84, 1, 36, 11, 12
2025/12/21, 166, 67, 3, 27, 11, 19
2025/12/22, 157, 54, 5, 22, 10, 15
2025/12/23, 130, 49, 2, 22, 11, 15
2025/12/24, 97, 58, 2, 21, 13, 14
2025/12/25, 129, 40, 8, 15, 7, 12
2025/12/26, 80, 25, 12, 14, 6, 12
2025/12/27, 52, 24, 11, 16, 8, 13
2025/12/28, 53, , , , , 
2025/7/9, 830, , , , , 
2025/7/10, 830, 35, , , , 
2025/7/11, 53, 35, , , , 
2025/7/12, 42, 31, , , , 
2025/7/24, 147, 52, 66, , 23, 
2025/7/25, 159, 40, 35, , 23, 
