date, pm25, pm10, o3, no2, so2, co
2026/3/1, 59, 40, 22, 17, 8, 3
2026/3/2, 83, 75, 6, 34, 18, 7
2026/3/3, 133, 76, 32, 19, 4, 4
2026/3/4, 140, 61, 18, 35, 12, 4
2026/3/5, 122, 77, 26, 32, 11, 6
2026/3/6, 117, 52, 31, 9, 4, 3
2026/3/7, 83, 33, 33, 11, 3, 35
2026/3/8, 64, 30, 27, 14, 4, 40
2026/3/9, 62, 38, 30, 13, 6, 41
2026/3/10, 68, 69, 20, 35, 7, 21
2026/3/11, 89, 71, 22, 19, 4, 3
2026/3/12, 89, 69, 23, 31, 7, 21
2026/3/13, 85, 71, 26, 23, 6, 4
2026/3/14, 128, 73, 10, 20, 6, 5
2026/3/15, 138, , , , , 
2026/3/17, 105, 59, 26, 17, 5, 10
2026/3/18, 100, 37, 29, 8, 4, 15
2026/3/19, 60, 16, 21, 10, 4, 2
2026/3/20, 34, 16, 23, 11, 4, 3
2026/3/21, 33, 23, 17, 13, 4, 3
2026/3/22, 52, 33, 8, 22, 8, 4
2026/3/23, 48, 56, 18, 18, 6, 4
2026/3/24, 71, 40, 26, 7, 5, 3
2026/3/25, 79, , , , , 
2026/2/1, 61, 34, 18, 22, 4, 10
2026/2/2, 54, 61, 11, 23, 5, 4
2026/2/3, 45, 53, 10, 23, 3, 14
2026/2/4, 84, 50, 18, 17, 6, 3
2026/2/5, 88, 34, 20, 19, 5, 7
2026/2/6, 60, 40, 17, 22, 5, 3
2026/2/7, 63, 43, 13, 23, 3, 3
2026/2/8, 91, 34, 11, 19, 3, 4
2026/2/9, 83, 26, 17, 15, 3, 3
2026/2/10, 66, 52, 9, 26, 4, 4
2026/2/11, 70, 44, 21, 17, 7, 3
2026/2/12, 47, 35, 22, 13, 8, 2
2026/2/13, 20, 43, 21, 13, 8, 3
2026/2/14, 37, 36, 17, 13, 5, 2
2026/2/15, 55, 99, 19, 25, 4, 2
2026/2/16, 98, 69, 23, 11, 5, 2
2026/2/17, 79, 39, 22, 14, 4, 15
2026/2/18, 27, 46, 15, 24, 2, 4
2026/2/19, 39, 43, 27, 17, 2, 3
2026/2/20, 92, 52, 15, 19, 3, 30
2026/2/21, 76, 42, 24, 15, , 3
2026/2/22, 70, 40, 27, 11, 1, 2
2026/2/23, 54, 64, 15, 34, 13, 4
2026/2/24, 122, 67, 21, 18, 4, 3
2026/2/25, 83, 48, 20, 26, 2, 27
2026/2/26, 49, 40, 22, 15, 5, 9
2026/2/27, 49, 32, 25, 9, , 2
2026/2/28, 61, 29, 30, 9, , 2
2026/1/1, 66, 27, 17, 17, 9, 7
2026/1/2, 71, 42, 31, 10, 22, 5
2026/1/3, 87, 57, 31, 8, 4, 1
2026/1/4, 21, 35, 21, 15, 9, 2
2026/1/5, 31, 45, 15, 16, 4, 3
2026/1/6, 71, 51, 21, 13, 6, 2
2026/1/7, 70, 55, 30, 4, 11, 1
2026/1/8, 37, 51, 25, 15, 4, 1
2026/1/9, 20, 58, 25, 11, 5, 2
2026/1/10, 30, 50, 29, 9, 4, 12
2026/1/11, 23, 16, 22, 14, 3, 3
2026/1/12, 28, 23, 21, 16, 3, 3
2026/1/13, 41, 48, 12, 31, 3, 4
2026/1/14, 107, 71, 2, 32, 4, 6
2026/1/15, 173, 73, 6, 35, 7, 7
2026/1/16, 167, 59, 23, 8, 7, 3
2026/1/17, 99, 24, 22, 10, 6, 2
2026/1/18, 48, 23, 16, 15, 8, 3
2026/1/19, 42, 36, 26, 15, 6, 2
2026/1/20, 64, 29, 17, 14, 6, 3
2026/1/21, 72, 35, 16, 14, 11, 10
2026/1/22, 71, 39, 13, 22, 9, 3
2026/1/23, 78, 51, 6, 27, 8, 4
2026/1/24, 128, 63, 12, 22, 5, 5
2026/1/25, 155, 53, 18, 18, 6, 3
2026/1/26, 111, 38, 29, 15, 11, 3
2026/1/27, 41, 57, 15, 22, 7, 5
2026/1/28, 61, 51, 24, 13, 7, 2
2026/1/29, 40, 34, 21, 16, 6, 4
2026/1/30, 16, 37, 10, 18, 5, 3
2026/1/31, 47, 39, 12, 12, 4, 3
2025/10/1, 39, 59, 18, 6, 15, 2
2025/10/2, 56, 35, 14, 10, 15, 2
2025/10/3, 59, 55, 7, 16, 16, 3
2025/10/14, 70, 49, 13, 11, 15, 3
2025/10/15, 67, 50, 18, 7, 15, 2
2025/10/17, 45, 62, 16, 15, 15, 3
2025/10/18, 149, 67, 8, 9, 15, 3
2025/10/19, 149, 48, 10, 10, 15, 2
2025/10/24, 93, 59, 21, 9, 16, 1
2025/10/26, 93, 53, 14, 11, 16, 1
2025/11/4, 158, 89, 13, 15, 15, 4
2025/11/5, 156, 75, 11, 13, 15, 3
2025/11/6, 142, 78, 7, 15, 15, 4
2025/11/7, 135, 75, 11, 12, 15, 3
2025/11/8, 134, 64, 12, 11, 14, 3
2025/11/9, 130, 56, 11, 14, 15, 2
2025/11/10, 95, 65, 13, 13, 15, 2
2025/11/11, 102, 55, 9, 12, 15, 2
2025/11/12, 54, 55, 13, 9, 15, 2
