date, pm25, pm10, o3, no2, so2, co
2026/3/1, 112, 35, 10, 6, 7, 6
2026/3/2, 134, 46, 7, 7, 12, 8
2026/3/3, 167, 43, 17, 8, 7, 5
2026/3/4, 161, 41, 20, 8, 9, 6
2026/3/5, 156, 41, 17, 8, 10, 6
2026/3/6, 168, 36, 22, 5, 5, 3
2026/3/7, 153, 23, 20, 4, 7, 3
2026/3/8, 124, 30, 18, 3, 5, 3
2026/3/9, 126, 35, 19, 7, 7, 4
2026/3/10, 147, 40, 21, 8, 7, 5
2026/3/11, 166, 50, 24, 9, 13, 7
2026/3/12, 171, 53, 16, 9, 11, 6
2026/3/13, 169, 52, 21, 9, 8, 5
2026/3/14, 167, 55, 15, 6, 8, 3
2026/3/15, 159, , , , , 
2026/3/17, 158, 57, 16, 10, 9, 6
2026/3/18, 164, 39, 16, 3, 5, 2
2026/3/19, 146, 15, 16, 1, 2, 1
2026/3/20, 101, 7, 18, , 3, 2
2026/3/21, 81, 11, 13, 2, 4, 2
2026/3/22, 86, 15, 15, 2, 5, 3
2026/3/23, 92, 24, 14, 4, 6, 3
2026/3/24, 106, 31, 12, 2, 7, 2
2026/2/1, 158, 25, 16, 4, 7, 
2026/2/2, 162, 26, 11, 7, 7, 7
2026/2/3, 158, 42, 13, 8, 12, 10
2026/2/4, 175, 35, 15, 4, 6, 4
2026/2/5, 142, 22, 15, 3, 3, 2
2026/2/6, 107, 39, 14, 5, 4, 4
2026/2/7, 147, 37, 11, 4, 5, 4
2026/2/8, 154, 28, 7, 6, 9, 6
2026/2/9, 154, 29, 8, 7, 6, 5
2026/2/10, 148, 29, 9, 5, 10, 6
2026/2/11, 152, 30, 12, 4, 4, 3
2026/2/12, 131, 20, 10, 2, 3, 1
2026/2/13, 106, 23, 9, 6, 6, 5
2026/2/14, 108, 22, 11, 2, 5, 3
2026/2/15, 123, 75, 12, 2, 3, 2
2026/2/16, 181, 15, 18, 2, 3, 1
2026/2/17, 163, 14, 19, 1, 6, 4
2026/2/18, 98, 22, 11, 3, 8, 9
2026/2/21, 116, 18, 14, 3, 4, 4
2026/2/22, 110, 16, 16, 2, 4, 4
2026/2/23, 98, 32, 17, 6, 10, 7
2026/2/24, 155, 28, 15, 3, 5, 3
2026/2/25, 139, 17, 16, 6, 6, 4
2026/2/26, 128, 16, 17, 3, 3, 3
2026/2/27, 108, 18, 15, 3, 4, 3
2026/2/28, 105, 23, 17, 2, 6, 3
2026/1/7, 146, 37, 21, 2, 4, 2
2026/1/8, 130, 30, 25, 1, 2, 1
2026/1/9, 106, 19, 24, 3, 2, 1
2026/1/10, 126, 23, 17, 2, 2, 4
2026/1/11, 112, 27, 21, 2, 2, 1
2026/1/12, 111, 13, 13, 3, 2, 4
2026/1/13, 110, 15, 15, 4, 4, 4
2026/1/14, 151, 38, 11, 11, 19, 10
2026/1/15, 168, 58, 5, 11, 20, 15
2026/1/16, 174, 58, 8, 12, 16, 10
2026/1/17, 167, 51, 14, 6, 6, 5
2026/1/18, 95, 18, 17, 2, 1, 3
2026/1/19, 92, 15, 13, 3, 1, 4
2026/1/20, 94, 17, 11, 7, 6, 5
2026/1/21, 124, 40, 3, 12, 20, 11
2026/1/22, 155, 53, 14, 9, 7, 5
2026/1/23, 166, 48, 10, 7, 9, 6
2026/1/24, 175, 68, 13, 8, 9, 6
2026/1/25, 160, 45, 18, 4, 7, 3
2026/1/26, 165, 61, 19, 4, 5, 2
2026/1/27, 115, 33, 20, 5, 6, 2
2026/1/28, 125, 27, 10, 5, 6, 3
2026/1/29, 137, 25, 11, 3, 4, 2
2026/1/30, 149, 28, 17, 2, 4, 1
2026/1/31, 161, 21, 16, 4, 5, 1
2025/11/3, 160, , 19, 60, 2, 5
2025/11/4, 176, , 20, 36, 2, 4
2025/11/5, 170, , 17, 17, 3, 5
2025/11/6, 157, 57, 13, 35, 2, 3
2025/11/7, 163, 46, 11, 35, 3, 5
2025/11/8, 167, 23, 17, 11, 2, 8
2025/11/9, 140, 22, 20, 12, 2, 12
2025/11/10, 132, 23, 20, 25, 3, 9
2025/11/17, 160, 27, 23, 1, 6, 4
2025/11/18, 130, 27, 22, 1, 9, 2
2025/11/19, 133, 42, 17, 1, 10, 3
2025/11/20, 152, 47, 22, 1, 11, 6
2025/11/21, 157, 52, 23, 1, 10, 4
2025/11/22, 158, 50, 24, 1, 9, 3
2025/11/23, 155, 19, 20, 1, 8, 3
2025/11/24, 130, 25, 18, 1, 8, 3
2025/11/25, 149, 32, 15, 1, 10, 6
2025/11/26, 149, 28, 14, , 10, 5
2025/11/27, 143, 19, 17, , 3, 4
2025/11/28, 119, 20, 14, , 2, 3
2025/11/29, 137, 19, 13, , 5, 5
2025/11/30, 133, 22, 11, 8, 3, 4
