date, pm25, pm10, o3, no2, so2, co
2026/3/1, 112, 58, 10, 53, 6, 9
2026/3/2, 134, 73, 7, 56, 7, 12
2026/3/3, 167, 75, 17, 50, 5, 9
2026/3/4, 161, 66, 20, 49, 6, 6
2026/3/5, 156, 68, 13, 56, 5, 8
2026/3/6, 169, 59, 22, 27, 4, 2
2026/3/7, 153, 51, 11, 41, 4, 2
2026/3/8, 124, 59, 6, 48, 3, 4
2026/3/9, 126, 54, 11, 32, 2, 1
2026/3/10, 147, 77, 12, 48, 3, 3
2026/3/11, 166, 75, 13, 53, 7, 4
2026/3/12, 171, 71, 14, 54, 1, 3
2026/3/13, 169, 72, 19, 46, 5, 2
2026/3/14, 167, 72, 16, 44, 6, 1
2026/3/15, 159, , , , , 
2026/3/17, 158, 73, 15, 43, 6, 11
2026/3/18, 164, 61, 14, 40, 5, 9
2026/3/19, 157, 40, , 35, 5, 8
2026/2/1, 158, 59, 14, 51, 6, 6
2026/2/2, 162, 57, 11, 46, 5, 3
2026/2/3, 158, 65, 11, 51, 6, 5
2026/2/4, 175, 56, 19, 31, 6, 7
2026/2/5, 142, 44, 10, 34, 5, 5
2026/2/6, 107, 61, 9, 36, 5, 6
2026/2/7, 147, 65, 5, 37, 4, 5
2026/2/8, 154, 65, 1, 60, 6, 5
2026/2/9, 154, 56, 2, 40, 5, 3
2026/2/10, 148, 54, 9, 53, 6, 3
2026/2/11, 152, 50, 12, 32, 6, 7
2026/2/12, 131, 40, 10, 25, 6, 6
2026/2/13, 106, 43, 9, 37, 5, 4
2026/2/14, 108, 44, 11, 23, 5, 3
2026/2/15, 123, 97, 11, 25, 5, 4
2026/2/16, 181, 84, 9, 31, 5, 3
2026/2/17, 163, 40, 10, 44, 6, 4
2026/2/18, 98, 44, 2, 40, 5, 3
2026/2/21, 116, 44, 3, 50, 5, 2
2026/2/22, 110, 46, , 49, 5, 4
2026/2/23, 98, 62, , 41, 6, 3
2026/2/24, 155, 55, 8, 33, 4, 4
2026/2/25, 139, 49, 17, 30, 3, 1
2026/2/26, 128, 36, 13, 32, 5, 2
2026/2/27, 108, 37, 15, 33, 1, 5
2026/2/28, 105, 41, 17, 33, 4, 5
2026/1/7, 146, 43, , 29, 5, 13
2026/1/8, 130, 54, , 37, 5, 13
2026/1/9, 106, 50, 13, 47, 4, 14
2026/1/10, 126, 35, 19, 41, 5, 15
2026/1/11, 112, 30, 13, 35, 4, 14
2026/1/12, 111, , 15, 24, 5, 12
2026/1/13, 110, 47, 11, 29, 5, 12
2026/1/14, 151, 55, 5, 35, 8, 14
2026/1/15, 168, 68, 8, 44, 7, 15
2026/1/16, 174, 80, 14, 43, 7, 13
2026/1/17, 167, 72, 16, 21, 5, 8
2026/1/18, 95, 43, 8, 21, 4, 10
2026/1/19, 92, 30, 5, 19, 2, 13
2026/1/20, 94, 31, 1, 23, 5, 15
2026/1/21, 124, 39, 2, 25, 6, 15
2026/1/22, 155, 41, , 31, 6, 16
2026/1/23, 166, 72, 13, 42, 6, 16
2026/1/24, 175, 85, 18, 36, 6, 14
2026/1/25, 160, 56, 19, 21, 3, 13
2026/1/26, 165, 68, 20, 22, 6, 11
2026/1/27, 115, 55, 16, 42, 5, 5
2026/1/28, 125, 50, 17, 35, 4, 3
2026/1/29, 137, 48, 17, 29, 5, 2
2026/1/30, 149, 54, 13, 35, 5, 5
2026/1/31, 161, 57, 12, 44, 5, 4
2025/11/3, 160, 69, 16, 54, 5, 8
2025/11/4, 176, 76, 10, 50, 5, 12
2025/11/5, 170, 72, 15, 48, 5, 13
2025/11/6, 157, 62, 11, 38, 5, 11
2025/11/7, 163, 62, 10, 37, 5, 13
2025/11/8, 167, 68, 12, 35, 5, 8
2025/11/9, 140, 50, 15, 28, 5, 12
2025/11/10, 132, 50, 2, 29, 5, 9
2025/11/25, 149, 55, , 51, 5, 8
2025/11/26, 149, 57, , 52, 6, 10
2025/11/27, 143, 55, , 29, 5, 14
2025/11/28, 119, 59, , 29, 5, 15
2025/11/29, 137, 48, 13, 35, 5, 16
2025/11/30, 133, 43, 11, 59, 4, 15
2025/12/1, 132, 50, 3, 46, 5, 11
2025/12/2, 172, 62, 2, 66, 6, 12
2025/12/3, 174, 65, 1, 55, 6, 9
2025/12/4, 177, 64, 1, 61, 8, 11
2025/12/5, 174, 61, 8, 35, 6, 13
2025/12/6, 125, 44, 10, 38, 5, 12
2025/12/7, 156, 55, 1, 59, 5, 14
2025/12/8, 134, 55, 9, 39, 4, 8
2025/12/9, 104, 51, 14, 34, 5, 9
2025/12/10, 124, 52, 2, 50, 6, 14
2025/12/11, 152, 58, 3, 63, 5, 9
2025/12/12, 154, 63, 2, 66, 6, 13
2025/12/13, 169, 75, 4, 79, 6, 15
2025/12/14, 135, 56, 3, 3, 5, 8
2025/12/15, 121, 30, 13, 3, 4, 6
2025/12/16, 125, 52, 15, 3, 5, 6
2025/12/17, 150, 52, 2, 3, 5, 11
2025/12/18, 181, 71, 6, 7, 8, 12
2025/12/19, 184, 96, 7, 8, 7, 13
2025/12/20, 186, 105, 9, 7, 7, 13
2025/12/21, 180, 77, 1, 4, 6, 11
2025/12/22, 167, 74, 1, 3, 6, 16
2025/12/23, 160, 75, 2, 4, 6, 12
2025/12/24, 170, 64, 1, 5, 7, 13
2025/12/25, 170, 69, 2, 70, 5, 12
2025/12/26, 167, 53, 5, 71, 5, 9
2024/7/5, 62, , , , 3, 
2024/7/6, 47, , , , 2, 
2024/7/7, 47, , , , 3, 
2024/7/8, 56, , , , , 
2024/7/10, 59, , , , , 
2024/5/31, 35, , , , , 
2024/6/2, 51, , , , 3, 
2024/6/3, 50, , , , 3, 
2024/6/4, 51, 41, , , 4, 2
2024/6/5, 56, , , , , 
2024/6/7, 55, 54, , , 3, 3
2024/6/8, 52, 44, , 32, 3, 3
2024/6/9, 39, 46, , , 3, 5
2024/6/10, 46, 48, , , 3, 4
2024/6/11, 49, 68, , 50, 3, 3
2024/6/12, 59, , , , , 
2024/6/14, 61, , , , , 
2024/6/17, 25, 45, , , 3, 7
2024/6/18, 28, 56, , , 3, 
2024/6/19, 28, , , , , 
2023/10/1, 57, 39, 17, , 8, 
2023/10/2, 59, 44, 16, , 7, 
2023/10/3, 54, 45, 17, , 4, 
2023/10/4, 54, 57, 19, 64, 7, 
2023/10/5, 71, 62, 19, 71, 4, 
2023/10/6, 89, 63, 10, 64, 1, 
2023/10/7, 82, 58, , 51, 2, 
2023/10/8, 76, 55, , 57, 1, 
2023/10/9, 84, 49, , 45, 3, 
2023/10/10, 85, 47, , 25, 1, 
2023/10/25, 64, , , , 3, 
2023/10/26, 61, 70, , 31, 1, 5
2023/10/27, 82, 70, , 25, , 5
2023/10/28, 82, 50, , 33, 1, 4
2023/10/29, 63, 60, , 54, 1, 3
2023/10/30, 82, 70, , 76, , 3
2023/10/31, 137, 61, , 42, 2, 4
2023/11/1, 142, 53, , 42, 1, 4
2023/11/2, 100, 41, , 22, , 6
2023/11/3, 63, 37, , , 2, 
2023/11/4, 63, , , , , 
2023/11/5, 69, , , , , 
2023/11/6, 59, 37, , 46, 1, 
2023/11/7, 93, 119, , , 4, 
2023/11/8, 114, , , , 4, 
2023/11/9, 105, , , , 5, 
2023/11/10, 86, , , , 4, 
2023/11/11, 71, , , , 4, 
2023/11/12, 55, , , , 4, 
2023/11/13, 61, , , 81, 4, 15
2023/11/14, 53, 25, , , 8, 
2023/11/15, 71, , , , , 
2023/11/22, 60, , , , 5, 
2023/11/23, 65, , , , , 
2023/11/25, 74, , 17, , 4, 
2023/11/26, 56, 74, 12, 99, 5, 
2023/11/27, 63, 62, 14, 60, 5, 15
2023/11/28, 88, 15, 11, , 4, 38
2023/11/29, 65, , 12, 78, 4, 29
2023/11/30, 71, , 12, , 4, 
2023/12/1, 79, , 11, 42, 5, 30
2023/12/2, 61, , , 46, 5, 28
2023/12/3, 64, , , , 4, 31
2023/12/4, 69, , , 93, 5, 36
2023/12/5, 69, , , 47, 5, 26
2023/12/6, 109, , , , , 
2023/12/8, 79, , 2, 73, , 
2023/12/9, 56, , , 63, , 
2023/12/11, 145, , , 105, 3, 
2023/12/12, 160, , , 76, 3, 
2023/12/13, 165, , , , , 
2023/7/1, 51, 46, , 46, 6, 2
2023/7/2, 63, 57, , 46, 6, 4
2023/7/3, 78, 58, , 55, 6, 6
2023/7/4, 88, 56, , 60, 6, 6
2023/7/5, 83, 59, , 59, 9, 5
2023/7/6, 95, 69, , 70, 14, 3
2023/7/7, 112, 73, , 64, 13, 2
2023/7/8, 127, 68, , 34, 13, 1
2023/7/9, 109, 64, , 52, 13, 75
2023/7/10, 101, 68, , 50, 13, 76
2023/7/11, 115, 86, , , 13, 
2023/7/12, 137, , 42, , 5, 
2023/7/14, 81, 60, 38, 67, 13, 22
2023/7/15, 94, 72, 37, 43, 14, 16
2023/7/16, 108, 55, 35, , 13, 
2023/7/17, 77, , 32, 37, 8, 
2023/7/19, 32, 47, , 48, 3, 5
2023/7/20, 54, 52, , , 2, 
2023/7/21, 66, 54, , , 2, 
2023/7/22, 70, 52, , , 2, 
2023/7/23, 69, 51, , 25, 4, 28
2023/7/24, 62, 39, , 27, 4, 28
2023/7/25, 52, 54, , 36, 3, 31
2023/7/26, 63, 64, , 37, 3, 1
2023/7/27, 70, 23, , 21, 3, 1
2023/7/28, 12, 29, , 23, 6, 
2023/7/29, 36, 34, , 19, 6, 1
2023/7/30, 40, 30, , 27, 4, 2
2023/7/31, 44, 35, , 27, 4, 2
2023/8/1, 48, 42, , 26, 2, 4
2023/8/2, 58, 47, , 32, 3, 5
2023/8/3, 60, 51, , 35, 3, 5
2023/8/4, 65, 53, , 27, 2, 6
2023/8/5, 74, 42, , 15, 3, 3
2023/8/6, 58, 30, , 24, 2, 4
2023/8/7, 41, 31, , 26, 3, 4
2023/8/8, 41, 31, , 23, 3, 3
2023/8/9, 56, 29, , 21, 2, 4
2023/8/10, 47, 40, , 17, 2, 4
2023/8/11, 52, 35, , 19, 2, 3
2023/8/12, 45, 47, , 15, 3, 4
2023/8/13, 56, 49, , 25, 2, 6
2023/8/14, 60, 56, , 22, 4, 7
2023/8/15, 68, 60, , 25, 6, 7
2023/8/16, 71, 62, , 26, 7, 7
2023/8/17, 76, 64, , 27, 1, 5
2023/8/18, 80, 63, , 26, 1, 5
2023/8/19, 79, 58, , 19, 3, 3
2023/8/20, 65, 54, , 34, 5, 2
2023/8/21, 56, 58, , 41, 5, 3
2023/8/22, 71, 63, , 52, 2, 4
2023/8/23, 75, 77, , 54, 3, 2
2023/8/24, 99, 70, , 57, 2, 2
2023/8/25, 77, 69, , 48, 3, 2
2023/8/26, 74, 95, , , 9, 
2023/8/27, 94, 22, , 48, 15, 4
2023/8/29, 26, 44, , 26, 18, 12
2023/8/30, 40, 46, , 32, 17, 13
2023/8/31, 53, 47, , 34, 16, 14
2023/9/1, 49, 56, , 25, 18, 14
2023/9/2, 58, 52, , , 19, 14
2023/9/3, 54, 39, , 32, 13, 15
2023/9/4, 43, 50, , 35, 39, 15
2023/9/5, 51, 74, , 38, 4, 19
2023/9/6, 73, 84, , 35, 6, 19
2023/9/7, 80, 66, , 25, 3, 17
2023/9/8, 62, 55, , 30, 7, 16
2023/9/9, 56, 61, , 22, 6, 16
2023/9/10, 55, 54, , 24, 5, 15
2023/9/11, 51, 61, , 35, 6, 16
2023/9/12, 53, 68, , 41, 7, 17
2023/9/13, 55, 79, , 43, 11, 18
2023/9/14, 65, 85, , 51, 12, 18
2023/9/15, 67, 94, , 36, 14, 18
2023/9/16, 69, 72, , 24, 14, 18
2023/9/17, 60, 68, , 32, 14, 19
2023/9/18, 53, 71, , 37, 9, 19
2023/9/19, 53, 69, , 39, 4, 14
2023/9/20, 65, 60, , 34, 2, 4
2023/9/21, 80, 62, , 35, 2, 5
2023/9/22, 78, 68, , 39, 1, 6
2023/9/23, 74, 73, , 38, 1, 6
2023/9/24, 82, 69, , 37, 2, 5
2023/9/25, 76, 68, , 24, 11, 4
2023/9/26, 75, 74, , 5, 12, 3
2023/9/27, 78, 68, , 5, 10, 
2023/9/28, 69, 58, , 3, 12, 
2023/9/29, 65, 57, , , 12, 
2023/9/30, 84, 43, 16, , 9, 
2023/4/1, 48, 44, , 21, , 3
2023/4/2, 36, 40, , 31, 1, 4
2023/4/3, 36, 49, , 41, 2, 4
2023/4/4, 44, 42, , 49, 4, 6
2023/4/5, 53, 43, , 52, , 5
2023/4/6, 55, 33, , 40, 7, 4
2023/4/7, 52, 51, , 50, 6, 4
