date, pm25, pm10, o3, no2, so2, co
2026/3/2, 86, , , , , 
2026/3/4, 157, 63, 11, 2, 14, 3
2026/3/5, 96, 70, 11, 2, 14, 3
2026/3/6, 105, , , , , 
2026/3/8, 214, , , , , 
2026/3/10, 146, 88, 11, 2, 14, 2
2026/3/11, 139, 337, 11, 2, 14, 2
2026/3/12, 243, 88, 11, 2, 11, 2
2026/3/13, 120, 89, 11, 2, 11, 2
2026/3/14, 115, 70, 11, 1, 11, 1
2026/3/15, 102, 63, 11, 1, 11, 1
2026/3/16, 91, 70, 11, 1, 11, 1
2026/3/17, 102, 61, 11, 1, 11, 1
2026/3/18, 89, 48, 11, 1, 11, 1
2026/3/19, 69, 53, 11, 1, 11, 1
2026/3/20, 76, 54, 11, 1, 11, 1
2026/3/21, 78, 86, 11, 1, 11, 2
2026/3/22, 101, 119, 11, 2, 11, 3
2026/3/23, 150, 73, 11, 2, 11, 2
2026/3/24, 119, 62, 11, 1, 11, 1
2026/3/25, 103, , , , , 
2026/2/2, 154, 104, 11, 2, 14, 4
2026/2/3, 162, 94, 11, 2, 14, 2
2026/2/4, 156, 85, 11, 2, 14, 2
2026/2/5, 137, 75, 11, 2, 14, 2
2026/2/6, 122, 76, 11, 2, 14, 2
2026/2/7, 116, 78, 11, 3, 14, 4
2026/2/8, 129, , , , , 
2026/2/13, 145, 93, 11, 2, 14, 3
2026/2/14, 146, 96, 11, 2, 14, 4
2026/2/15, 147, 94, 11, 2, 14, 4
2026/2/16, 150, 73, 11, 2, 14, 3
2026/2/17, 114, 55, 11, 1, 14, 2
2026/2/18, 85, 69, 11, 2, 14, 3
2026/2/19, 109, 121, 11, 2, 14, 4
2026/2/20, 164, 91, 11, 2, 14, 4
2026/2/21, 149, , , , , 
2026/2/28, 152, , , , , 
2026/1/1, 116, 81, 11, 2, 14, 2
2026/1/2, 142, 88, 11, 2, 14, 2
2026/1/3, 149, 94, 11, 2, 14, 3
2026/1/4, 154, 85, 11, 2, 14, 2
2026/1/5, 146, 91, 11, 2, 14, 3
2026/1/6, 150, 89, 11, 2, 14, 2
2026/1/7, 150, 86, 11, 2, 14, 2
2026/1/8, 148, 86, 11, 2, 14, 2
2026/1/9, 146, 83, 11, 2, 14, 2
2026/1/10, 142, 87, 11, 2, 14, 2
2026/1/11, 148, 81, 11, 2, 14, 2
2026/1/12, 138, 86, 11, 2, 14, 2
2026/1/13, 148, 93, 11, 2, 14, 3
2026/1/14, 151, 86, 11, 2, 14, 2
2026/1/15, 148, 103, 11, 2, 14, 3
2026/1/16, 158, 90, 11, 2, 14, 2
2026/1/17, 150, 74, 11, 1, 14, 1
2026/1/18, 131, 74, 11, 1, 14, 1
2026/1/19, 130, 87, 11, 1, 14, 2
2026/1/20, 145, 101, 11, 2, 14, 3
2026/1/21, 157, 100, 11, 2, 14, 3
2026/1/22, 157, 79, 11, 1, 14, 1
2026/1/23, 139, 79, 11, 2, 14, 2
2026/1/24, 136, 93, 11, 2, 14, 2
2026/1/25, 156, 93, 11, 2, 14, 3
2026/1/26, 156, 70, 11, 1, 14, 1
2026/1/27, 125, 62, 11, 1, 14, 1
2026/1/28, 105, 82, 11, 2, 14, 2
2026/1/29, 143, 93, 11, 2, 14, 3
2026/1/30, 155, 75, 11, 2, 14, 2
2026/1/31, 137, , , , , 
2025/10/1, 84, 50, 11, 1, 14, 
2025/10/2, 88, 52, 12, 1, 14, 
2025/10/3, 90, 54, 11, 1, 14, 
2025/10/4, 92, 62, 11, 1, 14, 1
2025/10/5, 106, 60, 11, 1, 14, 1
2025/10/6, 103, 58, 11, 1, 14, 1
2025/10/7, 100, 62, 11, 1, 14, 1
2025/10/8, 107, 80, 11, 1, 14, 1
2025/10/9, 136, 94, 11, 2, 14, 2
2025/10/10, 153, 97, 11, 1, 14, 2
2025/10/11, 156, , , , , 
2025/10/13, 151, , , , , 
2025/10/15, 143, 99, 11, 3, 14, 4
2025/10/16, 138, 69, 11, 2, 14, 3
2025/10/17, 114, 76, 11, 1, 14, 2
2025/10/18, 131, 80, 11, 1, 14, 1
2025/10/19, 137, 91, 11, 1, 14, 1
2025/10/20, 146, 87, 11, 1, 14, 1
2025/10/21, 136, 67, 11, 1, 14, 1
2025/10/22, 114, 65, 11, 1, 14, 
2025/10/23, 109, 66, 11, 1, 14, 
2025/10/24, 102, 51, 11, 1, 14, 
2025/10/25, 87, 50, 11, 1, 14, 
2025/10/26, 87, 48, 11, 1, 14, 
2025/10/27, 83, 52, 11, 1, 14, 
2025/10/28, 90, 56, 11, 1, 14, 
2025/10/29, 96, 51, 11, 1, 14, 
2025/10/30, 89, 51, 11, 1, 14, 1
2025/10/31, 88, 51, 11, 1, 14, 1
2025/11/1, 89, 50, 11, 1, 14, 1
2025/11/2, 86, 55, 11, 1, 14, 1
2025/11/3, 95, 63, 11, 1, 14, 
2025/11/4, 107, 67, 11, 1, 14, 
2025/11/5, 111, 69, 11, 1, 14, 1
2025/11/6, 120, 79, 11, 1, 14, 1
2025/11/7, 140, 69, 11, 1, 14, 1
2025/11/8, 121, 73, 11, 1, 14, 1
2025/11/9, 129, 79, 11, 1, 14, 1
2025/11/10, 137, 82, 11, 2, 14, 2
2025/11/11, 143, 80, 11, 2, 13, 2
2025/11/12, 139, 76, 11, 2, 14, 2
2025/11/13, 132, 81, 11, 2, 14, 2
2025/11/14, 139, 83, 11, 2, 14, 2
2025/11/15, 141, 80, 11, 2, 14, 2
2025/11/16, 136, 76, 11, 2, 14, 2
2025/11/17, 133, 80, 11, 1, 14, 2
2025/11/18, 141, 80, 11, 2, 14, 2
2025/11/19, 140, 79, 11, 2, 14, 2
2025/11/20, 136, 83, 11, 2, 14, 2
2025/11/21, 142, 90, 11, 2, 14, 3
2025/11/22, 148, 93, 11, 2, 14, 3
2025/11/23, 152, 90, 11, 2, 14, 3
