date, pm25, pm10, o3, no2, co
2026/3/2, 167, 121, 18, 7, 6
2026/3/3, 171, , , , 
2026/3/5, 152, 119, 28, 9, 5
2026/3/6, 153, 137, 28, 8, 9
2026/3/7, 174, 134, 30, 8, 8
2026/3/8, 157, 133, 24, 7, 8
2026/3/9, 169, 147, 32, 7, 10
2026/3/10, 173, 128, 28, 8, 8
2026/3/11, 167, 152, 23, 11, 6
2026/3/12, 158, 120, 104, 12, 5
2026/3/13, 146, 107, 47, 9, 4
2026/3/14, 135, 106, 17, 9, 6
2026/3/15, 119, 84, 24, 6, 4
2026/3/16, 116, 114, 38, 11, 6
2026/3/17, 151, 129, 35, 7, 7
2026/3/18, 160, 75, 11, 4, 4
2026/3/19, 125, 42, 18, 8, 3
2026/3/20, 84, 68, 23, 7, 4
2026/3/21, 109, 91, 24, 7, 4
2026/3/22, 125, 89, 21, 8, 4
2026/3/23, 128, 95, 26, 8, 4
2026/3/24, 145, 108, 26, 9, 4
2026/3/25, 134, , , , 
2026/2/1, 123, 118, 4, 13, 9
2026/2/2, 166, 102, 3, 13, 11
2026/2/3, 152, 180, 18, 21, 12
2026/2/4, 205, 126, 17, 14, 7
2026/2/5, 172, 110, 21, 16, 6
2026/2/6, 154, 143, 13, 22, 10
2026/2/7, 168, 126, 9, 18, 11
2026/2/8, 174, , , , 
2026/2/13, 136, 131, 21, 19, 10
2026/2/14, 165, 128, 18, 18, 9
2026/2/15, 166, 115, 12, 15, 9
2026/2/16, 151, 102, 12, 10, 6
2026/2/17, 150, 98, 6, 15, 9
2026/2/18, 144, 97, 17, 12, 9
2026/2/19, 156, 110, 20, 14, 9
2026/2/20, 158, 131, 23, 19, 8
2026/2/21, 168, 102, 22, 11, 6
2026/2/22, 146, , , , 
2026/1/1, 196, 87, 5, 8, 9
2026/1/2, 156, 126, 7, 8, 10
2026/1/3, 178, 141, 8, 10, 13
2026/1/4, 194, 123, 6, 9, 8
2026/1/5, 167, 124, 3, 11, 10
2026/1/6, 181, 147, 7, 9, 8
2026/1/7, 187, 194, 38, 16, 13
2026/1/8, 219, 284, 12, 13, 21
2026/1/9, 280, 154, 13, 12, 16
2026/1/10, 200, 126, 11, 12, 11
2026/1/11, 183, 150, 18, 14, 11
2026/1/12, 197, 262, 17, 16, 24
2026/1/13, 269, 173, 19, 14, 16
2026/1/14, 220, 164, 13, 12, 18
2026/1/15, 224, 153, 13, 16, 13
2026/1/16, 207, 234, 5, 10, 23
2026/1/17, 265, 171, 5, 8, 20
2026/1/18, 230, 182, 24, 9, 19
2026/1/19, 248, 231, 21, 15, 19
2026/1/20, 250, 184, 19, 17, 13
2026/1/21, 219, 149, 19, 8, 11
2026/1/22, 202, 115, 18, 5, 7
2026/1/23, 186, 123, 13, 11, 5
2026/1/24, 144, 100, 15, 11, 4
2026/1/25, 146, 103, 17, 9, 6
2026/1/26, 168, 122, 6, 10, 8
2026/1/27, 190, 120, 6, 11, 7
2026/1/28, 181, 114, 7, 11, 7
2026/1/29, 164, 116, 12, 15, 8
2026/1/30, 163, 135, 14, 9, 10
2026/1/31, 192, 79, 10, 7, 6
2025/10/1, 104, 52, 15, 5, 12
2025/10/2, 105, 57, 14, 4, 12
2025/10/3, 98, 75, 8, 4, 17
2025/10/4, 124, 73, 6, 4, 15
2025/10/5, 106, 51, 8, 5, 12
2025/10/6, 72, 30, 10, 5, 11
2025/10/7, 66, 48, 16, 7, 13
2025/10/8, 87, 81, 20, 7, 13
2025/10/9, 109, 107, 23, 6, 13
2025/10/10, 147, 112, 23, 7, 15
2025/10/11, 158, 110, 27, 8, 15
2025/10/12, 153, 110, 27, 8, 16
2025/10/13, 153, 108, 30, 8, 16
2025/10/14, 156, 103, 33, 8, 18
2025/10/15, 171, 104, 18, 7, 15
2025/10/16, 163, 139, 31, 7, 19
2025/10/17, 170, 134, 33, 5, 20
2025/10/18, 165, 134, 33, 5, 21
2025/10/19, 182, 187, 26, 5, 22
2025/10/20, 217, 350, 15, 3, 21
2025/10/21, 323, 118, 21, 1, 21
2025/10/22, 172, 125, 28, 1, 20
2025/10/23, 170, 113, 29, 2, 20
2025/10/24, 169, 117, 26, 3, 20
2025/10/25, 152, 101, 26, , 20
2025/10/26, 156, 119, 17, 3, 21
2025/10/27, 186, 123, 10, 4, 16
2025/10/28, 175, 128, 20, 10, 7
2025/10/29, 197, 158, 9, 5, 9
2025/10/30, 204, 68, 18, 8, 3
2025/10/31, 132, 180, 18, 7, 6
2025/11/1, 213, 209, 23, 9, 8
2025/11/2, 224, 147, 16, 11, 4
2025/11/3, 180, 95, 16, 5, 2
2025/11/4, 126, 103, 17, 5, 3
2025/11/5, 149, 206, 40, 7, 6
2025/11/6, 246, 187, 26, 10, 5
2025/11/7, 247, 236, 28, 11, 7
2025/11/8, 339, 201, 25, 12, 7
2025/11/9, 430, 245, 22, 12, 11
2025/11/10, 501, 349, 31, 15, 14
2025/11/11, 322, 354, 27, 13, 10
2025/11/12, 326, 305, 24, 14, 10
2025/11/13, 306, 230, 20, 9, 8
2025/11/14, 249, 242, 27, 11, 10
2025/11/15, 276, 206, 26, 10, 9
2025/11/16, 248, 155, 24, 8, 7
2025/11/17, 205, 204, 11, 9, 12
2025/11/18, 238, 203, 36, 8, 13
2025/11/19, 257, 189, 27, 8, 11
2025/11/20, 237, 133, 23, 4, 8
2025/11/21, 197, 168, 24, 6, 11
2025/11/22, 217, 136, 29, 8, 11
2025/11/23, 225, 233, 26, 8, 15
2025/11/24, 247, 190, 22, 10, 14
2025/11/25, 243, 142, 27, 13, 4
2025/11/26, 191, 178, 28, 18, 10
2025/11/27, 227, 226, 23, 23, 15
2025/11/28, 253, 142, 20, 18, 5
2025/11/29, 187, 156, 16, 21, 5
2025/11/30, 200, 146, 30, 17, 5
2025/12/1, 194, 224, 26, 17, 9
2025/12/2, 262, 152, 25, 17, 7
2025/12/3, 198, 160, 22, 15, 6
2025/12/4, 202, 185, 26, 10, 9
2025/12/5, 218, 177, 23, 12, 7
2025/12/6, 201, 193, 21, 12, 6
2025/12/7, 203, 155, 26, 10, 6
2025/12/8, 192, 153, 19, 12, 5
2025/12/9, 181, 121, 23, 12, 4
2025/12/10, 166, 146, 24, 15, 8
2025/12/11, 181, 140, 30, 15, 10
2025/12/12, 175, 277, 38, 11, 14
2025/12/13, 295, 286, 25, 9, 12
2025/12/14, 306, 179, 71, 12, 13
2025/12/15, 209, 159, 21, 11, 10
2025/12/16, 193, 147, 20, 11, 8
2025/12/17, 186, 324, 9, 12, 21
2025/12/18, 284, 192, 12, 12, 23
2025/12/19, 224, 190, 2, 10, 17
2025/12/20, 240, 151, 2, 8, 12
2025/12/21, 199, 221, 7, 40, 13
2025/12/22, 229, 216, 11, 74, 18
2025/12/23, 236, 99, 9, 71, 7
2025/12/24, 147, 115, 12, 75, 8
2025/12/25, 172, 146, 15, 76, 11
2025/12/26, 213, 192, 15, 43, 14
2025/12/27, 261, 261, 17, 11, 18
2025/12/28, 286, , , , 
2025/7/1, 62, 52, 16, 6, 9
2025/7/2, 75, 47, 21, 1, 9
2025/7/3, 80, 52, 27, 4, 9
2025/7/4, 224, 57, 136, 10, 9
2025/7/5, 754, 9, 55, 31, 6
2025/7/6, 154, 34, 49, 8, 8
2025/7/7, 53, 58, 48, 17, 7
2025/7/8, 73, 29, 27, 12, 8
2025/7/9, 36, 21, 60, 10, 9
2025/7/10, 37, 40, 36, 8, 10
2025/7/11, 55, 56, 59, 7, 12
2025/7/12, 70, 52, 55, 7, 13
2025/7/13, 75, 19, 201, 3, 8
2025/7/14, 36, , , , 
2025/7/23, 4, 38, 17, 20, 9
2025/7/24, 15, 37, 200, 20, 8
2025/7/25, 38, 41, 19, 19, 9
2025/7/26, 58, 45, 30, 16, 9
2025/7/27, 62, 56, 33, 16, 9
2025/7/28, 88, 29, 23, 13, 8
2025/7/29, 58, 24, 29, 4, 7
2025/7/30, 47, 230, 28, 6, 9
2025/7/31, 73, 56, 29, 7, 8
2025/8/1, 65, 66, 26, 9, 7
2025/8/2, 69, 999, 17, 10, 6
2025/8/3, 63, , 24, 9, 9
2025/8/4, 95, 270, 18, 11, 9
2025/8/5, 31, 62, 88, 12, 9
2025/8/6, 77, 78, 11, 15, 9
2025/8/7, 81, 83, 10, 8, 9
2025/8/8, 87, 132, 7, 4, 9
2025/8/9, 65, 63, 12, 2, 10
2025/8/10, 82, 71, 10, 7, 10
2025/8/11, 75, 51, 17, 6, 10
2025/8/12, 68, 69, 31, 5, 12
2025/8/13, 67, 28, 43, 5, 10
2025/8/14, 35, 32, 89, 5, 10
2025/8/15, 41, 44, 109, 5, 12
2025/8/16, 68, 50, 104, 11, 11
2025/8/17, 70, 41, 62, 14, 11
2025/8/18, 62, 44, 63, 12, 12
2025/8/19, 63, 37, 25, 13, 10
2025/8/20, 55, 29, 37, 5, 8
2025/8/21, 50, 50, 34, 2, 12
2025/8/22, 77, 39, 53, 2, 8
2025/8/23, 64, 34, 15, 3, 5
2025/8/24, 72, 21, 13, 2, 4
2025/8/25, 39, 20, 7, 2, 4
2025/8/26, 38, 31, 7, 2, 5
2025/8/27, 54, 57, 7, 2, 7
2025/8/28, 109, 56, 44, 2, 5
2025/8/29, 97, 38, 17, 2, 5
2025/8/30, 63, 34, 16, 2, 5
2025/8/31, 68, 30, 17, 2, 5
2025/9/1, 69, 20, 16, 2, 4
2025/9/2, 41, 34, 14, 2, 2
2025/9/3, 75, 36, 16, 2, 2
2025/9/4, 72, 38, 18, 2, 3
2025/9/5, 78, 37, 14, 2, 4
2025/9/6, 87, 43, 16, 2, 7
2025/9/7, 93, 35, 15, 1, 8
2025/9/8, 67, 61, 45, 1, 7
2025/9/9, 84, 56, 13, 3, 8
2025/9/10, 80, 68, 13, 3, 7
2025/9/11, 97, 67, 13, 3, 8
2025/9/12, 96, 62, 16, 3, 9
2025/9/13, 98, 67, 10, 3, 10
2025/9/14, 120, 58, 15, 3, 10
2025/9/15, 88, 67, 24, 3, 9
2025/9/16, 131, 54, 19, 2, 10
2025/9/17, 125, 60, 16, 3, 10
2025/9/18, 146, 80, 18, 2, 11
2025/9/19, 142, 46, 16, 3, 10
2025/9/20, 123, 91, 16, 2, 11
2025/9/21, 123, 95, 16, 2, 10
2025/9/22, 164, 85, 14, 2, 10
2025/9/23, 112, 77, 13, 1, 10
2025/9/24, 218, 78, 12, 4, 10
2025/9/25, 116, 77, 18, 1, 12
2025/9/26, 106, 85, 29, 2, 13
2025/9/27, 141, , , , 
2025/9/29, 104, 60, 6, , 12
2025/9/30, 117, 47, 19, 3, 12
2025/4/2, 153, 72, 84, 9, 3
2025/4/3, 114, 89, 41, 14, 4
2025/4/4, 138, 81, 67, 10, 4
2025/4/5, 135, 82, 54, 12, 4
2025/4/6, 142, 92, 71, 13, 6
2025/4/7, 171, 109, 62, 7, 6
2025/4/8, 171, 99, 57, 6, 6
2025/4/9, 170, 87, 86, 11, 6
2025/4/10, 133, 74, 111, 13, 5
2025/4/11, 120, 50, 123, 17, 6
2025/4/12, 107, 59, 157, 14, 7
2025/4/13, 132, 93, 139, 16, 10
2025/4/14, 173, 80, 113, 7, 6
2025/4/15, 152, 81, 65, 4, 5
2025/4/16, 156, 95, 118, 6, 7
2025/4/17, 159, 101, 40, 4, 7
2025/4/18, 162, 75, 31, 3, 6
2025/4/19, 129, 85, 33, 2, 7
2025/4/20, 150, 103, 38, 7, 7
2025/4/21, 163, 97, 24, 11, 7
2025/4/22, 172, 111, 32, 12, 8
2025/4/23, 162, 138, 31, 11, 7
2025/4/24, 158, 76, 36, 14, 6
2025/4/25, 152, 109, 101, 17, 9
2025/4/26, 175, 110, 36, 9, 6
2025/4/27, 160, 125, 97, 9, 10
2025/4/28, 185, 101, 82, 9, 11
2025/4/29, 157, 95, 146, 10, 12
2025/4/30, 161, 96, 88, 5, 11
2025/5/1, 163, 52, 16, 6, 6
2025/5/2, 119, 68, 73, 3, 8
2025/5/3, 134, 82, 155, 4, 10
2025/5/4, 156, 54, 308, 7, 7
2025/5/5, 121, 61, 97, 7, 8
2025/5/6, 137, 68, 81, 8, 10
2025/5/7, 146, 69, 26, 15, 17
2025/5/8, 153, 64, 24, 11, 16
2025/5/9, 135, 75, 104, 20, 15
2025/5/10, 155, 64, 36, 15, 14
2025/5/11, 129, 76, 31, 10, 12
2025/5/12, 130, 86, 30, 4, 14
2025/5/13, 95, 107, 25, 7, 15
2025/5/14, 119, 587, 30, 8, 17
2025/5/15, 292, 171, 56, 10, 14
2025/5/16, 161, 89, 22, 7, 5
2025/5/17, 119, 109, 35, 5, 5
2025/5/18, 134, 188, 113, 5, 8
2025/5/19, 163, 216, 105, 6, 7
2025/5/20, 156, 208, 52, 6, 4
2025/5/21, 152, 60, 37, 6, 1
2025/5/22, 62, 88, 44, 5, 1
2025/5/23, 113, 111, 46, 4, 2
2025/5/24, 134, 65, 87, 6, 1
2025/5/25, 74, 84, 38, 6, 4
2025/5/26, 125, 89, 43, 6, 4
2025/5/27, 118, 101, 60, 5, 4
2025/5/28, 129, 98, 63, 5, 3
2025/5/29, 112, 128, 30, 7, 4
2025/5/30, 111, 159, 38, 7, 4
2025/5/31, 151, 136, 21, 5, 2
2025/6/1, 92, 102, 32, 12, 3
2025/6/2, 72, 98, 28, 49, 4
2025/6/3, 82, 219, 31, 43, 4
2025/6/4, 105, 111, 36, 28, 2
2025/6/5, 82, 122, 33, 19, 3
2025/6/6, 98, 139, 54, 14, 4
2025/6/7, 127, 125, 176, 14, 5
2025/6/8, 127, 158, 31, 14, 4
2025/6/9, 84, 176, 25, 14, 6
2025/6/10, 96, 188, 41, 13, 12
2025/6/11, 111, 144, 44, 10, 18
2025/6/12, 141, 135, 49, 5, 22
2025/6/13, 122, 128, 102, 6, 21
2025/6/14, 127, 113, 132, 4, 19
2025/6/15, 109, 94, 106, 7, 16
2025/6/16, 111, 77, 35, 14, 3
2025/6/17, 97, 42, 330, 7, 12
2025/6/18, 73, 58, 272, 4, 8
2025/6/19, 104, 54, 332, 5, 7
2025/6/20, 81, 52, 23, 8, 4
2025/6/21, 72, 64, 52, 7, 3
2025/6/22, 82, 81, 50, 7, 3
2025/6/23, 110, 73, 26, 7, 4
2025/6/24, 99, 88, 30, 6, 4
2025/6/25, 120, 60, 26, 5, 5
2025/6/26, 77, 52, 25, 5, 7
2025/6/27, 71, 51, 24, 6, 7
2025/6/28, 79, 42, 23, 7, 8
2025/6/29, 66, 51, 21, 7, 9
2025/6/30, 79, 42, 17, 6, 9
2025/1/1, 194, 177, 18, 7, 11
2025/1/2, 220, 225, 38, 11, 21
2025/1/3, 259, 178, 24, 11, 33
2025/1/4, 233, 100, 16, 5, 12
2025/1/5, 160, 120, 19, 5, 10
2025/1/6, 177, 133, 28, 2, 9
2025/1/7, 173, , , , 
2025/1/10, 234, 117, 8, 7, 13
2025/1/11, 186, 96, 21, 6, 12
2025/1/12, 173, 96, 13, 5, 9
2025/1/13, 158, 113, 23, 6, 9
2025/1/14, 180, 159, 15, 3, 20
2025/1/15, 213, 101, 22, 3, 10
2025/1/16, 173, 109, 19, 5, 13
2025/1/17, 174, 115, 32, 6, 10
2025/1/18, 171, 96, 45, 5, 9
2025/1/19, 165, , , , 
2025/1/31, 152, , , , 
2025/2/3, 140, 162, 46, 8, 20
2025/2/4, 216, 106, 36, 3, 11
2025/2/5, 168, 102, 37, 4, 10
2025/2/6, 162, 86, 39, 2, 8
2025/2/7, 144, 94, 30, 3, 9
2025/2/8, 143, 106, 42, 6, 12
2025/2/9, 158, 194, 54, 7, 17
2025/2/10, 184, 163, 65, 6, 15
2025/2/11, 174, 103, 40, 4, 13
2025/2/12, 146, 84, 60, 2, 6
2025/2/13, 128, 74, 24, 3, 3
2025/2/14, 119, 129, 26, 8, 7
2025/2/15, 180, 136, 55, 7, 11
2025/2/16, 198, 124, 61, 5, 7
2025/2/17, 164, 120, 34, 9, 5
2025/2/18, 163, 106, 35, 6, 4
2025/2/19, 138, 72, 9, 3, 2
2025/2/20, 90, 96, 40, 2, 5
2025/2/21, 162, 71, 40, 8, 4
2025/2/22, 137, 75, 46, 12, 5
2025/2/23, 128, 92, 48, 23, 7
2025/2/24, 106, 110, 73, 11, 8
2025/2/25, 157, 92, 49, 10, 5
2025/2/26, 148, 81, 28, 14, 5
2025/2/27, 119, 83, 32, 9, 5
2025/2/28, 142, 62, 36, 24, 5
2025/3/1, 130, 73, 40, 18, 4
2025/3/2, 102, 100, 48, 12, 5
2025/3/3, 142, 93, 38, 4, 4
2025/3/4, 111, 84, 41, 4, 3
2025/3/5, 82, 78, 39, 4, 4
2025/3/6, 88, 105, 47, 15, 9
2025/3/7, 143, 94, 47, 13, 7
2025/3/8, 125, 103, 57, 1, 9
2025/3/9, 155, 107, 55, 24, 7
2025/3/10, 161, 143, 72, 19, 10
2025/3/11, 184, 120, 24, 16, 9
2025/3/12, 175, 100, 45, 12, 8
2025/3/13, 146, 42, 27, 5, 7
2025/3/14, 76, 52, 31, 3, 5
2025/3/15, 82, 59, 33, 6, 5
2025/3/16, 98, 67, 38, 6, 6
2025/3/17, 105, 82, 33, 8, 6
2025/3/18, 130, 91, 33, 10, 5
2025/3/19, 129, 88, 30, 12, 4
2025/3/20, 131, 83, 19, 8, 3
2025/3/21, 123, 91, 23, 11, 3
2025/3/22, 137, 86, 21, 8, 3
2025/3/23, 130, 97, 33, 10, 4
2025/3/24, 141, 119, 28, 11, 5
2025/3/25, 163, 132, 35, 13, 5
2025/3/26, 154, 188, 27, 19, 5
2025/3/27, 172, 130, 35, 6, 1
2025/3/28, 117, 73, 35, 4, 1
2025/3/29, 91, 147, 37, 6, 2
2025/3/30, 116, 70, 36, 8, 3
2025/3/31, 116, , , , 
2024/10/27, 152, 204, 30, 2, 24
2024/10/28, 167, 143, 25, 2, 22
2024/10/29, 202, 191, 26, 4, 18
2024/10/30, 185, 127, 34, 4, 19
2024/10/31, 257, 111, 24, 4, 25
2024/11/1, 258, 131, 26, 4, 20
2024/11/2, 202, 151, 33, 6, 22
2024/11/3, 271, 251, 34, 6, 22
2024/11/4, 252, 213, 32, 7, 14
2024/11/5, 234, 182, 76, 7, 26
2024/11/6, 205, 92, 79, 3, 26
2024/11/7, 186, 89, 69, 2, 84
2024/11/8, 176, 72, 10, 1, 10
2024/11/9, 200, 104, 83, 1, 8
2024/11/10, 199, 39, 82, 7, 9
2024/11/11, 174, 63, 76, 9, 10
2024/11/12, 178, 81, 28, 9, 10
2024/11/13, 317, 158, 31, 7, 22
2024/11/14, 287, 152, 56, 8, 23
2024/11/15, 220, 115, 37, 12, 15
2024/11/16, 253, 154, 41, 16, 12
