date, pm25, pm10, o3, no2, so2, co
2026/3/1, 34, , 28, 9, , 
2026/3/2, 19, , 37, 11, , 
2026/3/3, 24, , 35, 12, , 
2026/3/4, 51, , 34, 3, , 
2026/3/5, 17, , 21, 10, , 
2026/3/6, 9, , 36, 3, , 
2026/3/7, 11, , 38, 4, , 
2026/3/8, 11, , 39, 8, , 
2026/3/9, 19, , 34, 7, , 
2026/3/10, 22, , 43, 13, , 
2026/3/11, 39, , 45, 15, , 
2026/3/12, 34, , 49, 16, , 
2026/3/13, 25, , 83, 16, , 
2026/3/14, 45, , 50, 8, , 
2026/3/15, 51, , 47, 16, , 
2026/3/16, 41, , 41, 15, , 
2026/3/17, 28, , 82, 15, , 
2026/3/18, 33, , 87, 18, , 
2026/3/19, 46, , 72, 16, , 
2026/3/20, 45, , 63, 14, , 
2026/3/21, 52, , 53, 9, , 
2026/3/22, 63, , 58, 11, , 
2026/3/23, 75, , 57, 9, , 
2026/3/24, 62, , 21, 6, , 
2026/3/25, 62, , , , , 
2026/2/1, 28, , 40, 19, , 
2026/2/2, 44, , 29, 21, , 
2026/2/3, 40, , 33, 22, , 
2026/2/4, 29, , 26, 24, , 
2026/2/5, 25, , 36, 12, , 
2026/2/6, 29, , 37, 10, , 
2026/2/7, 38, , 40, 9, , 
2026/2/8, 26, , 33, 19, , 
2026/2/9, 32, , 28, 8, , 
2026/2/10, 30, , 30, 5, , 
2026/2/11, 10, , 29, 11, , 
2026/2/12, 20, , 32, 18, , 
2026/2/13, 34, , 36, 10, , 
2026/2/14, 25, , 34, 8, , 
2026/2/15, 24, , 31, 7, , 
2026/2/16, 19, , 36, 7, , 
2026/2/17, 10, , 38, 4, , 
2026/2/18, 12, , 30, 12, , 
2026/2/19, 18, , 29, 15, , 
2026/2/20, 19, , 36, 15, , 
2026/2/21, 35, , 37, 13, , 
2026/2/22, 33, , 37, 15, , 
2026/2/23, 20, , 38, 23, , 
2026/2/24, 35, , 56, 23, , 
2026/2/25, 67, , 39, 19, , 
2026/2/26, 58, , 40, 16, , 
2026/2/27, 15, , 61, 16, , 
2026/2/28, 31, , 44, 12, , 
2026/1/1, 25, , 18, 10, , 
2026/1/2, 33, , 24, 5, , 
2026/1/3, 11, , 27, 6, , 
2026/1/4, 11, , 30, 12, , 
2026/1/5, 24, , 17, 17, , 
2026/1/6, 34, , 31, 8, , 
2026/1/7, 20, , 32, 8, , 
2026/1/8, 20, , 28, 17, , 
2026/1/9, 30, , 25, 23, , 
2026/1/10, 47, , 27, 19, , 
2026/1/11, 41, , 25, 23, , 
2026/1/12, 32, , 27, 24, , 
2026/1/13, 34, , 29, 23, , 
2026/1/14, 28, , 27, 21, , 
2026/1/15, 29, , 22, 26, , 
2026/1/16, 33, , 24, 22, , 
2026/1/17, 32, , 32, 17, , 
2026/1/18, 27, , 30, 23, , 
2026/1/19, 45, , 29, 21, , 
2026/1/20, 40, , 14, 26, , 
2026/1/21, 71, , 26, 19, , 
2026/1/22, 63, , 30, 12, , 
2026/1/23, 46, , 30, 6, , 
2026/1/24, 26, , 29, 15, , 
2026/1/25, 34, , 28, 19, , 
2026/1/26, 34, , 31, 17, , 
2026/1/27, 25, , 20, 27, , 
2026/1/28, 33, , 29, 24, , 
2026/1/29, 25, , 34, 24, , 
2026/1/30, 30, , 34, 15, , 
2026/1/31, 23, , 38, 16, , 
2025/10/1, 27, , 36, 8, , 
2025/10/2, 18, , 27, 5, , 
2025/10/3, 22, , 40, 8, , 
2025/10/4, 26, , 52, 8, , 
2025/10/5, 36, , 37, 6, , 
2025/10/6, 35, , 40, 7, , 
2025/10/7, 38, , 39, 6, , 
2025/10/8, 31, , 41, 9, , 
2025/10/9, 24, , 45, 12, , 
2025/10/10, 26, , 44, 12, , 
2025/10/11, 32, , 43, 8, , 
2025/10/12, 28, , 35, 3, , 
2025/10/13, 24, , 28, 3, , 
2025/10/14, 8, , 32, 8, , 
2025/10/15, 16, , 37, 15, , 
2025/10/16, 23, , 37, 17, , 
2025/10/17, 36, , 45, 18, , 
2025/10/18, 35, , 55, 17, , 
2025/10/19, 37, , 50, 21, , 
2025/10/20, 38, , 51, 18, , 
2025/10/21, 40, , 32, 8, , 
2025/10/22, 27, , 33, 11, , 
2025/10/23, 29, , 42, 14, , 
2025/10/24, 46, , 44, 9, , 
2025/10/25, 71, , 44, 9, , 
2025/10/26, 70, , 41, 11, , 
2025/10/27, 63, , 35, 20, , 
2025/10/28, 52, , 38, 23, , 
2025/10/29, 37, , 46, 26, , 
2025/10/30, 30, , 39, 19, , 
2025/10/31, 52, , 43, 13, , 
2025/11/1, 59, , 49, 11, , 
2025/11/2, 64, , 39, 16, , 
2025/11/3, 70, , 39, 16, , 
2025/11/4, 67, , 29, 6, , 
2025/11/5, 30, , 28, 14, , 
2025/11/6, 29, , 30, 19, , 
2025/11/7, 30, , 40, 15, , 
2025/11/8, 49, , 37, 12, , 
2025/11/9, 48, , 33, 19, , 
2025/11/10, 31, , 28, 21, , 
2025/11/11, 36, , 18, 22, , 
2025/11/12, 52, , 22, 20, , 
2025/11/13, 52, , 17, 7, , 
2025/11/14, 25, , 28, 4, , 
2025/11/15, 9, , 27, 3, , 
2025/11/16, 12, , 26, 4, , 
2025/11/17, 11, , 27, 12, , 
2025/11/18, 22, , 27, 10, , 
2025/11/19, 23, , 26, 9, , 
2025/11/20, 21, , 27, 7, , 
2025/11/21, 9, , 29, 7, , 
2025/11/22, 11, , 28, 12, , 
2025/11/23, 25, , 27, 15, , 
2025/11/24, 49, , 28, 19, , 
2025/11/25, 43, , 23, 20, , 
2025/11/26, 23, , 32, 16, , 
2025/11/27, 36, , 33, 17, , 
2025/11/28, 55, , 35, 19, , 
2025/11/29, 69, , 37, 14, , 
2025/11/30, 70, , 26, 17, , 
2025/12/1, 50, , 21, 20, , 
2025/12/2, 31, , 30, 19, , 
2025/12/3, 43, , 24, 23, , 
2025/12/4, 31, , 22, 25, , 
2025/12/5, 36, , 22, 24, , 
2025/12/6, 58, , 28, 21, , 
2025/12/7, 61, , 27, 19, , 
2025/12/8, 40, , 25, 25, , 
2025/12/9, 27, , 22, 26, , 
2025/12/10, 38, , 22, 25, , 
2025/12/11, 38, , 20, 26, , 
2025/12/12, 65, , 25, 19, , 
2025/12/13, 77, , 22, 13, , 
2025/12/14, 62, , 19, 18, , 
2025/12/15, 53, , 16, 27, , 
2025/12/16, 67, , 20, 19, , 
2025/12/17, 61, , 24, 22, , 
2025/12/18, 48, , 19, 30, , 
2025/12/19, 65, , 31, 18, , 
2025/12/20, 86, , 30, 16, , 
2025/12/21, 83, , 16, 23, , 
2025/12/22, 80, , 22, 15, , 
2025/12/23, 59, , 24, 4, , 
2025/12/24, 15, , 30, 2, , 
2025/12/25, 13, , 25, 7, , 
2025/12/26, 23, , 26, 13, , 
2025/12/27, 27, , 25, 14, , 
2025/12/28, 38, , , , , 
2025/7/1, 36, , 39, 5, , 
2025/7/2, 47, , 41, 5, , 
2025/7/3, 37, , 46, 4, , 
2025/7/4, 54, , 51, 9, , 
2025/7/5, 136, , 7, 9, , 
2025/7/6, 42, , 49, 4, , 
2025/7/7, 45, , 50, 8, , 
2025/7/8, 41, , 50, 11, , 
2025/7/9, 40, , 55, 9, , 
2025/7/10, 43, , 42, 7, , 
2025/7/11, 51, , 44, 5, , 
2025/7/12, 54, , 43, 3, , 
2025/7/13, 36, , 40, 5, , 
2025/7/14, 35, , 32, 5, , 
2025/7/15, 36, , 34, 4, , 
2025/7/16, 29, , 40, 5, , 
2025/7/17, 20, , 37, 5, , 
2025/7/18, 27, , 42, 4, , 
2025/7/19, 31, , 38, 2, , 
2025/7/20, 36, , 37, 3, , 
2025/7/21, 38, , 35, 3, , 
2025/7/22, 24, , 35, 4, , 
2025/7/23, 26, , 28, 7, , 
2025/7/24, 22, , 32, 6, , 
2025/7/25, 25, , 36, 3, , 
2025/7/26, 26, , 34, 4, , 
2025/7/27, 27, , 36, 4, , 
2025/7/28, 29, , 39, 7, , 
2025/7/29, 38, , 50, 8, , 
2025/7/30, 40, , 41, 8, , 
2025/7/31, 38, , 45, 8, , 
2025/8/1, 42, , 50, 8, , 
2025/8/2, 49, , 50, 8, , 
2025/8/3, 54, , 58, 10, , 
2025/8/4, 59, , 64, 11, , 
2025/8/5, 69, , 69, 13, , 
2025/8/6, 66, , 67, 11, , 
2025/8/7, 53, , 45, 13, , 
2025/8/8, 47, , 44, 9, , 
2025/8/9, 52, , 47, 7, , 
2025/8/10, 46, , 46, 9, , 
2025/8/11, 46, , 39, 9, , 
2025/8/12, 50, , 48, 6, , 
2025/8/13, 56, , 48, 5, , 
2025/8/14, 56, , 34, 4, , 
2025/8/15, 52, , 34, 3, , 
2025/8/16, 40, , 43, 4, , 
2025/8/17, 39, , 50, 8, , 
2025/8/18, 36, , 39, 9, , 
2025/8/19, 37, , 39, 12, , 
2025/8/20, 46, , 58, 11, , 
2025/8/21, 48, , 67, 12, , 
2025/8/22, 52, , 59, 10, , 
2025/8/23, 55, , 50, 7, , 
2025/8/24, 43, , 49, 8, , 
2025/8/25, 42, , 43, 7, , 
2025/8/26, 49, , 42, 8, , 
2025/8/27, 42, , 41, 12, , 
2025/8/28, 42, , 55, 11, , 
2025/8/29, 35, , 47, 9, , 
2025/8/30, 37, , 48, 7, , 
2025/8/31, 40, , 39, 7, , 
2025/9/1, 44, , 57, 9, , 
2025/9/2, 39, , 44, 10, , 
2025/9/3, 36, , 40, 9, , 
2025/9/4, 38, , 45, 8, , 
2025/9/5, 38, , 46, 6, , 
2025/9/6, 39, , 47, 9, , 
2025/9/7, 36, , 37, 10, , 
2025/9/8, 27, , 32, 7, , 
2025/9/9, 27, , 36, 3, , 
2025/9/10, 26, , 32, 5, , 
2025/9/11, 27, , 39, 6, , 
2025/9/12, 30, , 38, 4, , 
2025/9/13, 35, , 43, 3, , 
2025/9/14, 39, , 68, 8, , 
2025/9/15, 56, , 39, 11, , 
2025/9/16, 32, , 35, 9, , 
2025/9/17, 25, , 38, 7, , 
2025/9/18, 31, , 40, 6, , 
2025/9/19, 22, , 32, 6, , 
2025/9/20, 24, , 44, 8, , 
2025/9/21, 33, , 48, 9, , 
2025/9/22, 36, , 60, 10, , 
2025/9/23, 33, , 33, 8, , 
2025/9/24, 27, , 27, 8, , 
2025/9/25, 34, , 27, 4, , 
2025/9/26, 17, , 32, 4, , 
2025/9/27, 17, , 37, 4, , 
2025/9/28, 25, , 36, 6, , 
2025/9/29, 22, , 39, 4, , 
2025/9/30, 31, , 32, 8, , 
2025/4/1, 19, , 37, 3, , 
2025/4/2, 15, , 38, 7, , 
2025/4/3, 34, , 38, 12, , 
2025/4/4, 31, , 42, 8, , 
2025/4/5, 21, , 49, 11, , 
2025/4/6, 30, , 46, 15, , 
2025/4/7, 39, , 51, 15, , 
2025/4/8, 48, , 62, 16, , 
2025/4/9, 54, , 60, 15, , 
2025/4/10, 53, , 50, 14, , 
2025/4/11, 47, , 49, 11, , 
2025/4/12, 64, , 43, 5, , 
2025/4/13, 65, , 43, 5, , 
2025/4/14, 58, , 39, 5, , 
2025/4/15, 49, , 38, 3, , 
2025/4/16, 27, , 33, 3, , 
2025/4/17, 24, , 36, 3, , 
2025/4/18, 28, , 41, 7, , 
2025/4/19, 31, , 44, 9, , 
2025/4/20, 41, , 41, 8, , 
2025/4/21, 47, , 42, 4, , 
2025/4/22, 55, , 38, 4, , 
2025/4/23, 44, , 41, 3, , 
2025/4/24, 38, , 41, 3, , 
2025/4/25, 28, , 40, 2, , 
2025/4/26, 14, , 37, 6, , 
2025/4/27, 20, , 37, 8, , 
2025/4/28, 25, , 37, 8, , 
2025/4/29, 37, , 38, 5, , 
2025/4/30, 52, , 40, 5, , 
2025/5/1, 50, , 39, 3, , 
2025/5/2, 35, , 31, 4, , 
2025/5/3, 40, , 27, 5, , 
2025/5/4, 35, , 29, 6, , 
2025/5/5, 35, , 31, 5, , 
2025/5/6, 37, , 36, 5, , 
2025/5/7, 39, , 41, 10, , 
2025/5/8, 49, , 62, 12, , 
2025/5/9, 41, , 71, 11, , 
2025/5/10, 40, , 74, 10, , 
2025/5/11, 54, , 40, 4, , 
2025/5/12, 47, , 40, 2, , 
2025/5/13, 26, , 37, 7, , 
2025/5/14, 36, , 39, 7, , 
2025/5/15, 48, , 38, 5, , 
2025/5/16, 49, , 34, 3, , 
2025/5/20, 50, , 62, 14, , 
2025/5/21, 49, , 49, 11, , 
2025/5/22, 56, , 43, 6, , 
2025/5/23, 61, , 42, 3, , 
2025/5/24, 47, , 42, 3, , 
2025/5/25, 39, , 41, 3, , 
2025/5/26, 44, , 46, 4, , 
2025/5/27, 45, , 37, 3, , 
2025/5/28, 38, , 46, 5, , 
2025/5/29, 49, , 63, 8, , 
2025/5/30, 41, , 69, 7, , 
2025/5/31, 47, , 51, 5, , 
2025/6/1, 44, , 33, 5, , 
2025/6/2, 29, , 30, 4, , 
2025/6/3, 32, , 37, 4, , 
2025/6/4, 32, , 36, 4, , 
2025/6/5, 37, , 36, 3, , 
2025/6/6, 41, , 34, 3, , 
2025/6/7, 40, , 39, 3, , 
2025/6/8, 46, , 45, 5, , 
2025/6/9, 57, , 54, 6, , 
2025/6/10, 60, , 50, 6, , 
2025/6/11, 54, , 52, 6, , 
2025/6/12, 57, , 52, 5, , 
2025/6/13, 53, , 65, 5, , 
2025/6/14, 61, , 61, 8, , 
2025/6/15, 58, , 57, 8, , 
2025/6/16, 59, , 53, 10, , 
2025/6/17, 59, , 63, 11, , 
2025/6/18, 58, , 48, 5, , 
2025/6/19, 52, , 43, 5, , 
2025/6/20, 55, , 37, 2, , 
2025/6/21, 49, , 46, 4, , 
2025/6/22, 51, , 39, 3, , 
2025/6/23, 51, , 36, 3, , 
2025/6/24, 46, , 47, 4, , 
2025/6/25, 44, , 52, 5, , 
2025/6/26, 50, , 60, 6, , 
2025/6/27, 53, , 60, 6, , 
2025/6/28, 46, , 46, 5, , 
2025/6/29, 38, , 44, 6, , 
2025/6/30, 31, , 38, 5, , 
2025/1/1, 107, , 27, 24, , 
2025/1/2, 68, , 20, 27, , 
2025/1/3, 70, , 25, 17, , 
2025/1/4, 90, , 32, 19, , 
2025/1/5, 45, , 26, 23, , 
2025/1/6, 38, , 34, 8, , 
2025/1/7, 51, , 35, 2, , 
2025/1/8, 24, , 43, 24, , 
2025/1/9, 123, , 36, 25, , 
2025/1/10, 81, , 34, 19, , 
2025/1/11, 55, , 34, 11, , 
2025/1/12, 28, , 31, 18, , 
2025/1/13, 26, , 26, 24, , 
2025/1/14, 38, , 27, 26, , 
2025/1/15, 40, , 29, 25, , 
2025/1/16, 45, , 33, 19, , 
2025/1/17, 48, , 35, 17, , 
2025/1/18, 55, , 34, 13, , 
2025/1/19, 71, , 36, 8, , 
2025/1/20, 43, , 28, 17, , 
2025/1/21, 20, , 22, 27, , 
2025/1/22, 32, , 29, 20, , 
2025/1/23, 26, , 32, 23, , 
2025/1/24, 33, , 33, 17, , 
2025/1/25, 51, , 27, 5, , 
2025/1/26, 26, , 27, 9, , 
2025/1/27, 22, , 25, 16, , 
2025/1/28, 46, , 33, 14, , 
2025/1/29, 47, , 28, 18, , 
2025/1/30, 54, , 30, 18, , 
2025/1/31, 60, , 31, 18, , 
2025/2/1, 61, , 40, 19, , 
2025/2/2, 89, , 33, 20, , 
2025/2/3, 72, , 28, 7, , 
2025/2/4, 34, , 22, 6, , 
2025/2/5, 20, , 22, 7, , 
2025/2/6, 33, , 31, 5, , 
2025/2/7, 28, , 32, 11, , 
2025/2/8, 35, , 36, 15, , 
2025/2/9, 42, , 35, 12, , 
2025/2/10, 45, , 34, 7, , 
2025/2/11, 36, , 25, 8, , 
2025/2/12, 32, , 29, 4, , 
2025/2/13, 20, , 32, 4, , 
2025/2/14, 22, , 34, 9, , 
2025/2/15, 39, , 39, 15, , 
2025/2/16, 40, , 33, 17, , 
2025/2/17, 60, , 32, 13, , 
2025/2/18, 51, , 37, 18, , 
2025/2/19, 51, , 42, 21, , 
2025/2/20, 56, , 38, 22, , 
2025/2/21, 45, , 42, 18, , 
2025/2/22, 42, , 49, 18, , 
2025/2/23, 45, , 47, 19, , 
2025/2/24, 53, , 39, 21, , 
2025/2/25, 50, , 14, 26, , 
2025/2/26, 51, , 29, 21, , 
2025/2/27, 33, , 38, 18, , 
2025/2/28, 36, , 34, 4, , 
2025/3/1, 41, , 36, 3, , 
2025/3/2, 26, , 33, 6, , 
2025/3/3, 18, , 35, 8, , 
2025/3/4, 38, , 25, 13, , 
2025/3/5, 41, , 35, 5, , 
2025/3/6, 18, , 36, 5, , 
2025/3/7, 21, , 38, 13, , 
2025/3/8, 41, , 42, 14, , 
2025/3/9, 45, , 41, 16, , 
2025/3/10, 42, , 31, 11, , 
2025/3/11, 26, , 33, 10, , 
2025/3/12, 24, 3, 37, 3, , 
2025/3/13, 14, , 30, 10, , 
2025/3/14, 23, , 37, 8, , 
2025/3/15, 31, , 43, 12, , 
2025/3/16, 42, , 31, 13, , 
2025/3/17, 46, , 37, 6, , 
2025/3/18, 20, , 42, 15, , 
2025/3/19, 26, , 41, 17, , 
2025/3/20, 37, , 44, 17, , 
2025/3/21, 41, , 47, 13, , 
2025/3/22, 46, , 50, 9, , 
2025/3/23, 54, , 40, 13, , 
2025/3/24, 36, , 42, 12, , 
2025/3/25, 45, , 31, 5, , 
2025/3/26, 42, , 28, 4, , 
2025/3/27, 32, , 37, 4, , 
2025/3/28, 27, , 41, 5, , 
2025/3/29, 30, , 35, 3, , 
2025/3/30, 22, , 31, 3, , 
2025/3/31, 19, , 37, 5, , 
2024/10/1, 54, , 79, 19, , 
2024/10/2, 51, , 63, 19, , 
2024/10/3, 64, , 74, 15, , 
2024/10/4, 73, , 61, 10, 13, 
2024/10/5, 63, , 8, 12, , 
2024/10/6, 61, , 69, 16, , 
2024/10/7, 59, , 45, 17, , 
2024/10/8, 55, , 53, 12, , 
2024/10/9, 65, , 65, 14, , 
2024/10/10, 81, , 55, 18, , 
2024/10/11, 55, , 56, 17, , 
2024/10/12, 61, , 42, 10, , 
2024/10/13, 59, , 37, 7, , 
2024/10/14, 54, , 40, 7, , 
2024/10/15, 64, , 35, 7, , 
2024/10/16, 74, , 36, 5, , 
2024/10/17, 41, , 36, 7, , 
2024/10/18, 24, , 42, 11, , 
2024/10/19, 28, , 49, 16, , 
2024/10/20, 38, , 46, 16, , 
2024/10/21, 32, , 51, 21, , 
2024/10/22, 33, , 69, 22, , 
2024/10/23, 45, , 63, 23, , 
2024/10/24, 58, , 54, 23, , 
2024/10/25, 62, , 57, 18, , 
2024/10/26, 55, , 57, 19, , 
2024/10/27, 70, , 28, 9, , 
2024/10/28, 43, , 32, 8, , 
2024/10/29, 19, , 37, 17, , 
2024/10/30, 36, , 39, 16, , 
2024/10/31, 32, , 39, 19, , 
2024/11/1, 46, , 32, 14, , 
2024/11/2, 45, , 34, 4, , 
2024/11/3, 27, , 31, 13, , 
2024/11/4, 22, , 31, 22, , 
