date, pm25, pm10, o3, no2, so2, co
2026/3/1, 34, 10, 37, 6, 5, 3
2026/3/2, 18, 7, 35, 9, 5, 3
2026/3/3, 16, 21, 32, 17, 5, 5
2026/3/4, 43, 40, 40, 19, 5, 6
2026/3/5, 91, 32, 29, 13, 5, 5
2026/3/6, 74, 32, 1, 9, 5, 4
2026/3/7, 79, 28, 2, 14, 6, 5
2026/3/8, 62, 44, 1, 18, 5, 5
2026/3/9, 95, 53, 50, 20, 6, 4
2026/3/10, 97, 45, 41, 26, 6, 3
2026/3/11, 94, 52, 45, 21, 5, 3
2026/3/12, 112, 22, 44, 19, 5, 2
2026/3/13, 50, 24, 53, 11, 6, 2
2026/3/14, 54, 42, 42, 14, 5, 4
2026/3/15, 97, 55, 46, 25, 5, 5
2026/3/16, 124, 56, 65, 25, 6, 5
2026/3/17, 127, 53, 33, 25, 5, 5
2026/3/18, 129, 38, 38, 18, 6, 3
2026/3/19, 62, 38, 46, 23, 5, 4
2026/3/20, 70, 49, 56, 20, 5, 4
2026/3/21, 102, 37, 59, 19, 6, 4
2026/3/22, 87, 54, 60, 26, 6, 5
2026/3/23, 121, 54, 68, 15, 5, 4
2026/3/24, 108, 50, 55, 20, 6, 5
2026/3/25, 99, 55, 28, 20, 5, 6
2026/3/26, 122, , , , , 
2026/2/1, 78, 32, 36, 16, 4, 5
2026/2/2, 76, 30, 35, 24, 5, 6
2026/2/3, 70, 49, 38, 25, 4, 6
2026/2/4, 108, 60, 40, 25, 5, 6
2026/2/5, 132, 61, 28, 11, 4, 3
2026/2/6, 49, 39, 32, 9, 5, 3
2026/2/7, 40, 23, 30, 9, 5, 3
2026/2/8, 45, 21, 32, 21, 5, 5
2026/2/9, 48, 37, 31, 24, 5, 5
2026/2/10, 79, 49, 29, 20, 5, 6
2026/2/11, 113, 54, 38, 29, 5, 7
2026/2/12, 113, 62, 49, 25, 5, 6
2026/2/13, 129, 69, 49, 28, 5, 7
2026/2/14, 140, 55, 45, 19, 5, 7
2026/2/15, 102, 34, 31, 12, 6, 4
2026/2/16, 54, 27, 38, 13, 5, 5
