station_key,latitude,longitude,needs_review,match_score,waqi_uid,waqi_name,attribution_url,attribution_name,last_updated
catladikapi,41.2045,28.7967,0,100,,,,,
istanbulaksaray,41.0082,28.9784,0,100,,,,,
istanbulalibeykoy,41.0748,28.8514,0,100,,,,,
istanbulbesiktas,41.0422,29.0086,0,100,,,,,
istanbulesenyurt,41.0346,28.6769,0,100,,,,,
istanbulkagithane,41.0847,28.9759,0,100,,,,,
istanbulmecidiyekoy,41.0486,28.9897,0,100,,,,,
istanbultr,,,1,0,,,,,
alejakrasinskiegokrakowmaopolska,,,1,0,,,,,
alexandranaqicityofjohannesburg,,,1,0,,,,,
amsterdam,52.3702157,4.8951679,0,95,5771.0,Amsterdam,,,
ankara,,,1,0,,,,,
antalya,,,1,0,,,,,
aristotelous,,,1,0,,,,,
avdfranciavalenciavalencia,,,1,0,,,,,
barcelonapalaureialcatalunya,,,1,0,,,,,
beijing,,,1,0,,,,,
beograddragisamisovic,,,1,0,,,,,
birminghama4540roadside,,,1,0,,,,,
brnoarboretumjihomoravsky,,,1,0,,,,,
bursa,,,1,0,,,,,
bursakestel,,,1,0,,,,,
campodemartelima,,,1,0,,,,,
danmarksplassbergennorway,,,1,0,,,,,
debrecenkalotaszegterdebrecen,,,1,0,,,,,
delhianandvihar,,,1,0,,,,,
dunpomyeonchungnam,,,1,0,,,,,
frankfurtschwanheim,,,1,0,,,,,
hipodrumasofia,,,1,0,,,,,
itodelhi,,,1,0,,,,,
izmirguzelyali,,,1,0,,,,,
izmirkarsiyaka,,,1,0,,,,,
kirkeveienoslonorway,,,1,0,,,,,
kurlamumbai,,,1,0,,,,,
london,51.5073509,-0.1277583,0,95,5724.0,London,,,
lyoncentre,,,1,0,,,,,
madrid,40.4167754,-3.7037902,0,95,5725.0,Madrid,,,
marseillerabataupaca,,,1,0,,,,,
marszakowskawarszawamazowieckie,,,1,0,,,,,
mercedmexico,,,1,0,,,,,
munich,48.1351253,11.5819806,0,95,6037.0,Munich,,,
newyork,,,1,0,,,,,
nisegwalpaharigurugram,,,1,0,,,,,
northhollywoodlosangelescalifornia,,,1,0,,,,,
paris,48.856614,2.3522219,0,95,5722.0,Paris,,,
parquedpedroiisaopaulo,,,1,0,,,,,
rotterdam,51.930833,4.479167,0,95,5772.0,Rotterdam,,,
salfordeccles,,,1,0,,,,,
seonghwangdongcheonansichungnam,,,1,0,,,,,
shhye,,,1,0,,,,,
sternschanzehamburg,,,1,0,,,,,
stockholmsveavagen59gata,,,1,0,,,,,
strdrumultabereidrumultaberei,,,1,0,,,,,
truckeefirestationnevadacalifornia,,,1,0,,,,,
